t,spd0,spd1,spd2,spd3,spd4,spd5,Vcr,adc0,dc,T,Vpz,Vms
1509362973.199824, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.542, 0.000, 0.000, 0.000, 0.0, 0.000 
1509362973.211354, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.577, 0.077, 30.000, 0.000, 0.222580645161, 0.000 
1509362973.222813, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.558, 0.000, 30.000, 0.000, 0.0, 0.142 
1509362973.234170, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.590, 0.055, 30.000, 0.000, 0.154838709677, 0.000 
1509362973.245473, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.603, 0.000, 30.000, 0.000, 0.0354838709677, 0.129 
1509362973.256830, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.532, 0.013, 30.000, 0.000, 0.0225806451613, 0.181 
1509362973.268148, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.542, 0.032, 30.000, 0.000, 0.125806451613, 0.077 
1509362973.279453, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.558, 0.000, 30.000, 0.000, 0.0, 0.181 
1509362973.290780, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.571, 0.058, 30.000, 0.000, 0.183870967742, 0.129 
1509362973.302066, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.571, 0.000, 30.000, 0.000, 0.0, 0.168 
1509362973.313330, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.606, 0.065, 30.000, 0.000, 0.183870967742, 0.194 
1509362973.324590, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.600, 0.000, 30.000, 0.000, 0.00322580645161, 0.194 
1509362973.335858, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.590, 0.035, 30.000, 0.000, 0.0870967741935, 0.219 
1509362973.347163, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.571, 0.010, 30.000, 0.000, 0.0903225806452, 0.232 
1509362973.358411, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.594, 0.000, 30.000, 0.000, 0.0, 0.258 
1509362973.369673, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.561, 0.048, 30.000, 0.000, 0.158064516129, 0.271 
1509362973.380925, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.581, 0.000, 30.000, 0.000, 0.0, 0.284 
1509362973.392166, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.603, 0.068, 30.000, 0.000, 0.203225806452, 0.297 
1509362973.403418, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.600, 0.000, 30.000, 0.000, 0.0, 0.323 
1509362973.414656, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.584, 0.052, 30.000, 0.000, 0.145161290323, 0.335 
1509362973.425912, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.574, 0.000, 30.000, 0.000, 0.041935483871, 0.348 
