t,spd0,spd1,spd2,spd3,spd4,spd5,Vcr,adc0,dc,T,Vpz,Vms
1509364098.693742, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.548, 0.000, 0.000, 0.000, 0.0258064516129, 0.258 
1509364098.705392, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.584, 0.081, 30.000, 0.000, 0.229032258065, 0.271 
1509364098.716927, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.558, 0.000, 30.000, 0.000, 0.0, 0.284 
1509364098.728269, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.587, 0.042, 30.000, 0.000, 0.122580645161, 0.310 
1509364098.739600, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.561, 0.000, 30.000, 0.000, 0.0612903225806, 0.323 
1509364098.750941, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.610, 0.000, 30.000, 0.000, 0.0, 0.335 
1509364098.762232, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.610, 0.039, 30.000, 0.000, 0.138709677419, 0.348 
1509364098.773573, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.600, 0.000, 30.000, 0.000, 0.0, 0.374 
1509364098.784887, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.616, 0.065, 30.000, 0.000, 0.190322580645, 0.387 
1509364098.796268, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.577, 0.000, 30.000, 0.000, 0.0, 0.400 
1509364098.807543, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.565, 0.055, 30.000, 0.000, 0.148387096774, 0.426 
1509364098.818856, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.584, 0.000, 30.000, 0.000, 0.0322580645161, 0.439 
1509364098.830121, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.606, 0.016, 30.000, 0.000, 0.0322580645161, 0.439 
1509364098.841361, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.613, 0.026, 30.000, 0.000, 0.116129032258, 0.477 
1509364098.852693, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.587, 0.000, 30.000, 0.000, 0.0, 0.477 
1509364098.863996, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.590, 0.055, 30.000, 0.000, 0.174193548387, 0.490 
1509364098.875264, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.610, 0.000, 30.000, 0.000, 0.0, 0.516 
1509364098.886651, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.616, 0.065, 30.000, 0.000, 0.18064516129, 0.529 
1509364098.897955, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.584, 0.000, 30.000, 0.000, 0.00322580645161, 0.542 
1509364098.909284, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.587, 0.029, 30.000, 0.000, 0.0838709677419, 0.542 
1509364098.920560, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.597, 0.013, 30.000, 0.000, 0.0935483870968, 0.568 
1509364098.931849, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.616, 0.000, 30.000, 0.000, 0.0, 0.581 
1509364098.943123, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.594, 0.048, 30.000, 0.000, 0.154838709677, 0.594 
1509364098.954352, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.629, 0.000, 30.000, 0.000, 0.0, 0.619 
1509364098.965662, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.603, 0.068, 30.000, 0.000, 0.183870967742, 0.619 
1509364098.977649, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.597, 0.000, 30.000, 0.000, 0.0, 0.632 
1509364098.988981, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.600, 0.035, 30.000, 0.000, 0.1, 0.658 
1509364099.006002, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.597, 0.048, 30.000, 0.000, 0.167741935484, 0.710 
1509364099.017258, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.594, 0.000, 30.000, 0.000, 0.0, 0.710 
1509364099.028532, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.594, 0.042, 30.000, 0.000, 0.122580645161, 0.735 
1509364099.039833, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.619, 0.000, 30.000, 0.000, 0.0612903225806, 0.735 
1509364099.051102, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.600, 0.003, 30.000, 0.000, 0.0, 0.748 
1509364099.062410, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.616, 0.035, 30.000, 0.000, 0.135483870968, 0.761 
1509364099.073668, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.613, 0.000, 30.000, 0.000, 0.0, 0.774 
1509364099.085026, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.606, 0.061, 30.000, 0.000, 0.187096774194, 0.787 
1509364099.096351, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.568, 0.000, 30.000, 0.000, 0.0, 0.800 
1509364099.107628, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.632, 0.055, 30.000, 0.000, 0.158064516129, 0.800 
1509364099.118944, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.606, 0.000, 30.000, 0.000, 0.0258064516129, 0.813 
1509364099.130391, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.603, 0.016, 30.000, 0.000, 0.0322580645161, 0.826 
1509364099.141771, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.600, 0.029, 30.000, 0.000, 0.11935483871, 0.839 
1509364099.153087, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.613, 0.000, 30.000, 0.000, 0.0, 0.852 
1509364099.164396, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.603, 0.058, 30.000, 0.000, 0.177419354839, 0.852 
1509364099.175775, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.623, 0.000, 30.000, 0.000, 0.0, 0.877 
1509364099.187186, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.623, 0.065, 30.000, 0.000, 0.174193548387, 0.877 
1509364099.198503, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.613, 0.000, 30.000, 0.000, 0.00967741935484, 0.877 
1509364099.209759, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.590, 0.029, 30.000, 0.000, 0.0741935483871, 0.903 
1509364099.221048, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.613, 0.013, 30.000, 0.000, 0.0967741935484, 0.916 
1509364099.232315, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.619, 0.000, 30.000, 0.000, 0.0, 0.916 
1509364099.243585, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.594, 0.052, 30.000, 0.000, 0.158064516129, 0.942 
1509364099.254874, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.610, 0.000, 30.000, 0.000, 0.0, 0.942 
1509364099.266218, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.600, 0.068, 30.000, 0.000, 0.193548387097, 0.942 
1509364099.277520, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.648, 0.000, 30.000, 0.000, 0.0, 0.955 
1509364099.288794, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.623, 0.045, 30.000, 0.000, 0.122580645161, 0.968 
1509364099.300075, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.594, 0.000, 30.000, 0.000, 0.0612903225806, 0.968 
1509364099.311306, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.623, 0.000, 30.000, 0.000, 0.0, 0.981 
1509364099.322540, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.629, 0.035, 30.000, 0.000, 0.135483870968, 1.006 
1509364099.333875, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.619, 0.000, 30.000, 0.000, 0.0, 1.006 
1509364099.345185, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.568, 0.065, 30.000, 0.000, 0.187096774194, 1.019 
1509364099.356550, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.613, 0.000, 30.000, 0.000, 0.0, 1.032 
1509364099.367819, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.645, 0.058, 30.000, 0.000, 0.158064516129, 1.045 
1509364099.379100, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.616, 0.000, 30.000, 0.000, 0.0225806451613, 1.045 
1509364099.390366, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.632, 0.023, 30.000, 0.000, 0.0483870967742, 1.045 
1509364099.401636, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.635, 0.019, 30.000, 0.000, 0.109677419355, 1.071 
1509364099.412949, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.619, 0.000, 30.000, 0.000, 0.0, 1.071 
1509364099.424241, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.603, 0.055, 30.000, 0.000, 0.167741935484, 1.071 
1509364099.435502, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.648, 0.000, 30.000, 0.000, 0.0, 1.097 
1509364099.446864, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.597, 0.065, 30.000, 0.000, 0.187096774194, 1.097 
1509364099.458165, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.616, 0.000, 30.000, 0.000, 0.0, 1.097 
