t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,pv,T,Vpz,Vms
1507542001.925866, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.413, 0.055, 0.000, 16.437, 0.138709677419, 0.000 
1507542001.938101, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.445, 0.000, 0.000, 16.437, 0.0, 0.000 
1507542001.949903, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.026, 0.000, 16.437, 0.0483870967742, 0.000 
1507542001.961506, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.439, 0.010, 0.000, 16.437, 0.0612903225806, 0.000 
1507542001.973128, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.471, 0.000, 0.000, 16.437, 0.0, 0.000 
1507542001.984638, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.465, 0.045, 0.000, 16.437, 0.11935483871, 0.000 
1507542001.996160, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.461, 0.000, 0.000, 16.437, 0.0, 0.000 
1507542002.007661, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.461, 0.052, 0.000, 16.437, 0.11935483871, 0.000 
1507542002.019160, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.487, 0.000, 0.000, 16.437, 0.0, 0.000 
1507542002.030655, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.448, 0.016, 0.000, 16.437, 0.0322580645161, 0.000 
1507542002.042259, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.506, 0.023, 0.000, 16.437, 0.0741935483871, 0.000 
1507542002.053768, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.448, 0.000, 0.000, 16.437, 0.0, 0.000 
1507542002.065309, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.468, 0.052, 0.000, 16.437, 0.129032258065, 0.000 
1507542002.076817, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.452, 0.000, 0.000, 16.437, 0.0, 0.000 
1507542002.088312, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.471, 0.045, 0.000, 16.437, 0.106451612903, 0.000 
1507542002.099811, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.471, 0.000, 0.000, 16.437, 0.0161290322581, 0.000 
1507542002.111349, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.458, 0.006, 0.000, 16.437, 0.0, 0.000 
1507542002.122934, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.468, 0.029, 0.000, 16.437, 0.0935483870968, 0.000 
1507542002.134420, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.481, 0.000, 0.000, 16.437, 0.0, 0.000 
1507542002.145911, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.500, 0.055, 0.000, 16.437, 0.135483870968, 0.000 
1507542002.157412, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.461, 0.000, 0.000, 16.437, 0.0, 0.000 
1507542002.168895, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.494, 0.035, 0.000, 16.437, 0.0903225806452, 0.000 
1507542002.180386, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.439, 0.000, 0.000, 16.437, 0.0322580645161, 0.000 
