t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,pv,Tc,Vpz,Vms
1507542250.1474,0,0,0,0,0,0,2.539,0.171,0,16.625,0.3096774194,0
1507542250.15966,0,0,0,0,0,0,2.542,0.084,0,16.625,0.1290322581,0
1507542250.17146,0,0,0,0,0,0,2.535,0.058,0,16.625,0.1322580645,0
1507542250.18316,0,0,0,0,0,0,2.529,0,0,16.625,0,0
1507542250.19475,0,0,0,0,0,0,2.503,0.061,0,16.625,0.1387096774,0
1507542250.20627,0,0,0,0,0,0,2.523,0,0,16.625,0,0
1507542250.21778,0,0,0,0,0,0,2.561,0.039,0,16.625,0.0870967742,0
1507542250.22929,0,0,0,0,0,0,2.513,0.003,0,16.625,0.0387096774,0
1507542250.24079,0,0,0,0,0,0,2.548,0,0,16.625,0,0
1507542250.25241,0,0,0,0,0,0,2.529,0.039,0,16.625,0.1064516129,0
1507542250.26399,0,0,0,0,0,0,2.526,0,0,16.625,0,0
1507542250.27552,0,0,0,0,0,0,2.558,0.055,0,16.625,0.1290322581,0
1507542250.28703,0,0,0,0,0,0,2.49,0,0,16.625,0,0
1507542250.29852,0,0,0,0,0,0,2.494,0.029,0,16.625,0.0612903226,0
1507542250.31001,0,0,0,0,0,0,2.539,0.006,0,16.625,0.0580645161,0
1507542250.3215,0,0,0,0,0,0,2.526,0,0,16.625,0,0
1507542250.3331,0,0,0,0,0,0,2.532,0.045,0,16.625,0.1161290323,0
1507542250.34461,0,0,0,0,0,0,2.5,0,0,16.625,0,0
1507542250.35611,0,0,0,0,0,0,2.506,0.048,0,16.625,0.1193548387,0
1507542250.36761,0,0,0,0,0,0,2.545,0,0,16.625,0,0
1507542250.37909,0,0,0,0,0,0,2.552,0.013,0,16.625,0.035483871,0
1507542250.3906,0,0,0,0,0,0,2.552,0.019,0,16.625,0.0709677419,0
1507542250.40215,0,0,0,0,0,0,2.535,0,0,16.625,0,0
1507542250.41368,0,0,0,0,0,0,2.516,0.048,0,16.625,0.1225806452,0
1507542250.42519,0,0,0,0,0,0,2.529,0,0,16.625,0,0
1507542250.43667,0,0,0,0,0,0,2.51,0.048,0,16.625,0.1096774194,0
1507542250.44817,0,0,0,0,0,0,2.494,0,0,16.625,0.0096774194,0
1507542250.45965,0,0,0,0,0,0,2.526,0.006,0,16.625,0.0129032258,0
1507542250.47113,0,0,0,0,0,0,2.513,0.023,0,16.625,0.0838709677,0
1507542250.48275,0,0,0,0,0,0,2.565,0,0,16.625,0,0
1507542250.49425,0,0,0,0,0,0,2.539,0.055,0,16.625,0.1290322581,0
1507542250.50575,0,0,0,0,0,0,2.548,0,0,16.625,0,0
1507542250.51723,0,0,0,0,0,0,2.497,0.039,0,16.625,0.0903225806,0
1507542250.52873,0,0,0,0,0,0,2.481,0,0,16.625,0.0290322581,0
1507542250.54029,0,0,0,0,0,0,2.519,0,0,16.625,0,0
1507542250.55179,0,0,0,0,0,0,2.529,0.039,0,16.625,0.0967741935,0
1507542250.56338,0,0,0,0,0,0,2.513,0,0,16.625,0,0
1507542250.57509,0,0,0,0,0,0,2.506,0.055,0,16.625,0.1290322581,0
1507542250.58662,0,0,0,0,0,0,2.548,0,0,16.625,0,0
1507542250.59813,0,0,0,0,0,0,2.561,0.029,0,16.625,0.064516129,0
1507542250.60971,0,0,0,0,0,0,2.503,0.01,0,16.625,0.0548387097,0
1507542250.62122,0,0,0,0,0,0,2.529,0,0,16.625,0,0
1507542250.63285,0,0,0,0,0,0,2.51,0.042,0,16.625,0.1129032258,0
1507542250.64435,0,0,0,0,0,0,2.5,0,0,16.625,0,0
1507542250.65583,0,0,0,0,0,0,2.513,0.052,0,16.625,0.1193548387,0
1507542250.66733,0,0,0,0,0,0,2.481,0,0,16.625,0,0
1507542250.67882,0,0,0,0,0,0,2.516,0.023,0,16.625,0.0387096774,0
1507542250.69032,0,0,0,0,0,0,2.545,0.016,0,16.625,0.0677419355,0
1507542250.70185,0,0,0,0,0,0,2.542,0,0,16.625,0,0
1507542250.71342,0,0,0,0,0,0,2.539,0.048,0,16.625,0.1193548387,0
1507542250.72492,0,0,0,0,0,0,2.529,0,0,16.625,0,0
1507542250.7364,0,0,0,0,0,0,2.545,0.048,0,16.625,0.1096774194,0
1507542250.74789,0,0,0,0,0,0,2.506,0,0,16.625,0.0096774194,0
1507542250.75938,0,0,0,0,0,0,2.542,0.01,0,16.625,0.0161290323,0
1507542250.77086,0,0,0,0,0,0,2.526,0.023,0,16.625,0.0806451613,0
1507542250.78244,0,0,0,0,0,0,2.513,0,0,16.625,0,0
1507542250.79393,0,0,0,0,0,0,2.477,0.055,0,16.625,0.1258064516,0
1507542250.80541,0,0,0,0,0,0,2.577,0,0,16.625,0,0
1507542250.81693,0,0,0,0,0,0,2.49,0.039,0,16.625,0.0967741935,0
1507542250.82845,0,0,0,0,0,0,2.552,0,0,16.625,0.0225806452,0
1507542250.83994,0,0,0,0,0,0,2.529,0,0,16.625,0,0
1507542250.85143,0,0,0,0,0,0,2.516,0.032,0,16.625,0.0935483871,0
1507542250.863,0,0,0,0,0,0,2.558,0,0,16.625,0,0
1507542250.87448,0,0,0,0,0,0,2.545,0.052,0,16.625,0.1322580645,0
1507542250.88596,0,0,0,0,0,0,2.532,0,0,16.625,0,0
1507542250.89744,0,0,0,0,0,0,2.529,0.039,0,16.625,0.0806451613,0
1507542250.90892,0,0,0,0,0,0,2.503,0,0,16.625,0.0387096774,0
1507542250.92043,0,0,0,0,0,0,2.548,0,0,16.625,0,0
1507542250.93194,0,0,0,0,0,0,2.526,0.039,0,16.625,0.1032258065,0
1507542250.94354,0,0,0,0,0,0,2.506,0,0,16.625,0,0
1507542250.95502,0,0,0,0,0,0,2.51,0.052,0,16.625,0.1290322581,0
1507542250.96656,0,0,0,0,0,0,2.503,0,0,16.625,0,0
1507542250.97806,0,0,0,0,0,0,2.516,0.029,0,16.625,0.0612903226,0
1507542250.98955,0,0,0,0,0,0,2.568,0.006,0,16.625,0.0548387097,0
1507542251.00104,0,0,0,0,0,0,2.526,0,0,16.625,0,0
1507542251.0128,0,0,0,0,0,0,2.519,0.042,0,16.625,0.1161290323,0
1507542251.02436,0,0,0,0,0,0,2.526,0,0,16.625,0,0
1507542251.03587,0,0,0,0,0,0,2.523,0.045,0,16.625,0.1161290323,0
1507542251.04736,0,0,0,0,0,0,2.542,0,0,16.625,0,0
1507542251.05885,0,0,0,0,0,0,2.526,0.016,0,16.625,0.0290322581,0
1507542251.07035,0,0,0,0,0,0,2.529,0.019,0,16.625,0.0741935484,0
1507542251.08185,0,0,0,0,0,0,2.532,0,0,16.625,0,0
1507542251.09341,0,0,0,0,0,0,2.484,0.055,0,16.625,0.1225806452,0
1507542251.10491,0,0,0,0,0,0,2.523,0,0,16.625,0,0
1507542251.11642,0,0,0,0,0,0,2.5,0.042,0,16.625,0.1032258065,0
1507542251.12792,0,0,0,0,0,0,2.51,0,0,16.625,0.0129032258,0
1507542251.13941,0,0,0,0,0,0,2.51,0.006,0,16.625,0.0064516129,0
1507542251.15089,0,0,0,0,0,0,2.532,0.019,0,16.625,0.0838709677,0
1507542251.16246,0,0,0,0,0,0,2.535,0,0,16.625,0,0
1507542251.17394,0,0,0,0,0,0,2.542,0.052,0,16.625,0.1290322581,0
1507542251.18547,0,0,0,0,0,0,2.484,0,0.334,16.625,0,0
1507542251.19736,0,0,0,0,0,0,2.552,0.032,0.334,16.625,0.0741935484,0
1507542251.20912,0,0,0,0,0,0,2.529,0.006,0.334,16.625,0.0483870968,0
1507542251.2207,0,0,0,0,0,0,2.526,0,0.334,16.625,0,0
1507542251.23234,0,0,0,0,0,0,2.539,0.042,0.334,16.625,0.1129032258,0
1507542251.24387,0,0,0,0,0,0,2.542,0,0.334,16.625,0,0
1507542251.25537,0,0,0,0,0,0,2.532,0.052,0.334,16.625,0.1225806452,0
1507542251.26688,0,0,0,0,0,0,2.529,0,0.334,16.625,0,0
1507542251.27837,0,0,0,0,0,0,2.561,0.019,0.334,16.625,0.0419354839,0
1507542251.28988,0,0,0,0,0,0,2.519,0.016,0.334,16.625,0.0677419355,0
1507542251.30144,0,0,0,0,0,0,2.542,0,0.334,16.625,0,0
1507542251.31302,0,0,0,0,0,0,2.519,0.045,0.334,16.625,0.1193548387,0
1507542251.32452,0,0,0,0,0,0,2.516,0,0.334,16.625,0,0
1507542251.33602,0,0,0,0,0,0,2.523,0.045,0.334,16.625,0.1096774194,0
1507542251.34751,0,0,0,0,0,0,2.513,0,0.334,16.625,0.0064516129,0.013
1507542251.35901,0,0,0,0,0,0,2.545,0.013,0.334,16.625,0.0161290323,0
1507542251.3705,0,0,0,0,0,0,2.535,0.023,0.334,16.625,0.0806451613,0
1507542251.38199,0,0,0,0,0,0,2.529,0,0.334,16.625,0,0
1507542251.39358,0,0,0,0,0,0,2.535,0.052,0.334,16.625,0.1290322581,0
1507542251.40508,0,0,0,0,0,0,2.552,0,0.334,16.625,0,0
1507542251.41662,0,0,0,0,0,0,2.523,0.042,0.334,16.625,0.0935483871,0.013
1507542251.42816,0,0,0,0,0,0,2.51,0,0.334,16.625,0.0258064516,0.013
1507542251.43988,0,0,0,0,0,0,2.494,0,0.334,16.625,0,0.013
1507542251.45145,0,0,0,0,0,0,2.529,0.035,0.334,16.625,0.1032258065,0.013
1507542251.46307,0,0,0,0,0,0,2.5,0,0.334,16.625,0,0.013
1507542251.47458,0,0,0,0,0,0,2.513,0.052,0.334,16.625,0.1290322581,0.013
1507542251.48608,0,0,0,0,0,0,2.519,0,0.334,16.625,0,0.013
1507542251.49759,0,0,0,0,0,0,2.526,0.029,0.334,16.625,0.064516129,0.026
1507542251.50907,0,0,0,0,0,0,2.523,0.006,0.334,16.625,0.0516129032,0.026
1507542251.52059,0,0,0,0,0,0,2.523,0,0.334,16.625,0,0.026
1507542251.53231,0,0,0,0,0,0,2.5,0.045,0.334,16.625,0.1129032258,0.026
1507542251.54386,0,0,0,0,0,0,2.526,0,0.334,16.625,0,0.026
1507542251.55543,0,0,0,0,0,0,2.51,0.052,0.334,16.625,0.1193548387,0.026
1507542251.56698,0,0,0,0,0,0,2.51,0,0.334,16.625,0,0.026
1507542251.5785,0,0,0,0,0,0,2.545,0.016,0.334,16.625,0.0322580645,0.026
1507542251.59,0,0,0,0,0,0,2.548,0.019,0.334,16.625,0.0741935484,0.026
1507542251.60156,0,0,0,0,0,0,2.516,0,0.334,16.625,0,0.026
1507542251.61315,0,0,0,0,0,0,2.552,0.055,0.334,16.625,0.1258064516,0.026
1507542251.62466,0,0,0,0,0,0,2.577,0,0.334,16.625,0,0.039
1507542251.63617,0,0,0,0,0,0,2.552,0.045,0.334,16.625,0.1032258065,0.039
1507542251.64767,0,0,0,0,0,0,2.506,0,0.334,16.625,0.0129032258,0.039
1507542251.65919,0,0,0,0,0,0,2.523,0.003,0.334,16.625,0.0032258065,0.039
1507542251.67069,0,0,0,0,0,0,2.529,0.026,0.334,16.625,0.0870967742,0.039
1507542251.68227,0,0,0,0,0,0,2.529,0,0.334,16.625,0,0.039
1507542251.69378,0,0,0,0,0,0,2.523,0.055,0.334,16.625,0.1322580645,0.039
1507542251.70527,0,0,0,0,0,0,2.519,0,0.334,16.625,0,0.052
1507542251.71677,0,0,0,0,0,0,2.497,0.039,0.334,16.625,0.0903225806,0.052
1507542251.72826,0,0,0,0,0,0,2.555,0,0.334,16.625,0.0322580645,0.052
1507542251.73976,0,0,0,0,0,0,2.494,0,0.334,16.625,0,0.052
1507542251.75125,0,0,0,0,0,0,2.523,0.032,0.334,16.625,0.1,0.052
1507542251.76284,0,0,0,0,0,0,2.523,0,0.334,16.625,0,0.052
1507542251.77435,0,0,0,0,0,0,2.497,0.058,0.334,16.625,0.1290322581,0.052
1507542251.78584,0,0,0,0,0,0,2.526,0,0.334,16.625,0,0.052
1507542251.79734,0,0,0,0,0,0,2.558,0.032,0.334,16.625,0.0677419355,0.052
1507542251.80884,0,0,0,0,0,0,2.506,0,0.334,16.625,0.0483870968,0.065
1507542251.82036,0,0,0,0,0,0,2.529,0,0.334,16.625,0,0.065
1507542251.83187,0,0,0,0,0,0,2.519,0.045,0.334,16.625,0.1129032258,0.065
1507542251.84344,0,0,0,0,0,0,2.506,0,0.334,16.625,0,0.065
1507542251.85493,0,0,0,0,0,0,2.552,0.052,0.334,16.625,0.1225806452,0.065
1507542251.86645,0,0,0,0,0,0,2.542,0,0.334,16.625,0,0.065
1507542251.87812,0,0,0,0,0,0,2.539,0.016,0.334,16.625,0.0387096774,0.065
1507542251.88968,0,0,0,0,0,0,2.539,0.019,0.334,16.625,0.0709677419,0.065
1507542251.90119,0,0,0,0,0,0,2.481,0,0.334,16.625,0,0.065
1507542251.91283,0,0,0,0,0,0,2.552,0.045,0.334,16.625,0.1193548387,0.065
1507542251.92436,0,0,0,0,0,0,2.552,0,0.334,16.625,0,0.065
1507542251.9359,0,0,0,0,0,0,2.519,0.045,0.334,16.625,0.1064516129,0.065
1507542251.94743,0,0,0,0,0,0,2.535,0,0.334,16.625,0.0129032258,0.077
1507542251.95893,0,0,0,0,0,0,2.548,0.006,0.334,16.625,0.0064516129,0.077
1507542251.97047,0,0,0,0,0,0,2.506,0.026,0.334,16.625,0.0870967742,0.103
1507542251.98198,0,0,0,0,0,0,2.523,0,0.334,16.625,0,0.077
1507542251.99355,0,0,0,0,0,0,2.529,0.055,0.334,16.625,0.1290322581,0.077
1507542252.00505,0,0,0,0,0,0,2.526,0,0.334,16.625,0,0.077
1507542252.01654,0,0,0,0,0,0,2.539,0.039,0.334,16.625,0.0903225806,0.077
1507542252.02804,0,0,0,0,0,0,2.565,0,0.334,16.625,0.0322580645,0.077
1507542252.03954,0,0,0,0,0,0,2.542,0,0.334,16.625,0,0.077
1507542252.05103,0,0,0,0,0,0,2.49,0.035,0.334,16.625,0.0967741935,0.077
1507542252.06262,0,0,0,0,0,0,2.5,0,0.334,16.625,0,0.077
1507542252.07413,0,0,0,0,0,0,2.526,0.052,0.334,16.625,0.1322580645,0.09
1507542252.08563,0,0,0,0,0,0,2.494,0,0.334,16.625,0,0.09
1507542252.09713,0,0,0,0,0,0,2.513,0.029,0.334,16.625,0.0709677419,0.09
1507542252.10861,0,0,0,0,0,0,2.513,0.003,0.334,16.625,0.0483870968,0.09
1507542252.1201,0,0,0,0,0,0,2.455,0,0.334,16.625,0,0.09
1507542252.13159,0,0,0,0,0,0,2.526,0.039,0.334,16.625,0.1096774194,0.09
1507542252.1432,0,0,0,0,0,0,2.539,0,0.334,16.625,0,0.09
1507542252.15471,0,0,0,0,0,0,2.487,0.052,0.334,16.625,0.1225806452,0.09
1507542252.16621,0,0,0,0,0,0,2.526,0,0.334,16.625,0,0.09
1507542252.17771,0,0,0,0,0,0,2.526,0.023,0.334,16.625,0.0516129032,0.103
1507542252.1892,0,0,0,0,0,0,2.497,0.01,0.334,16.625,0.064516129,0.103
1507542252.20069,0,0,0,0,0,0,2.561,0,0.334,16.625,0,0.103
1507542252.21223,0,0,0,0,0,0,2.526,0.045,0.334,16.625,0.1161290323,0.103
1507542252.22375,0,0,0,0,0,0,2.513,0,0.669,16.625,0,0.103
1507542252.23565,0,0,0,0,0,0,2.539,0.042,0.669,16.625,0.1064516129,0.129
1507542252.24736,0,0,0,0,0,0,2.51,0,0.669,16.625,0.0161290323,0.103
1507542252.25897,0,0,0,0,0,0,2.529,0.003,0.669,16.625,0,0.103
1507542252.27049,0,0,0,0,0,0,2.516,0.032,0.669,16.625,0.0903225806,0.103
1507542252.28205,0,0,0,0,0,0,2.529,0,0.669,16.625,0,0.103
1507542252.29359,0,0,0,0,0,0,2.5,0.052,0.669,16.625,0.1322580645,0.116
1507542252.30509,0,0,0,0,0,0,2.558,0,0.669,16.625,0,0.116
1507542252.31678,0,0,0,0,0,0,2.558,0.032,0.669,16.625,0.0774193548,0.116
1507542252.32834,0,0,0,0,0,0,2.506,0.003,0.669,16.625,0.0419354839,0.103
1507542252.33987,0,0,0,0,0,0,2.552,0,0.669,16.625,0,0.116
1507542252.35139,0,0,0,0,0,0,2.529,0.042,0.669,16.625,0.1064516129,0.116
1507542252.36295,0,0,0,0,0,0,2.526,0,0.669,16.625,0,0.142
1507542252.37445,0,0,0,0,0,0,2.535,0.052,0.669,16.625,0.1258064516,0.116
1507542252.38594,0,0,0,0,0,0,2.523,0,0.669,16.625,0,0.116
1507542252.39745,0,0,0,0,0,0,2.529,0.029,0.669,16.625,0.0548387097,0.116
1507542252.40901,0,0,0,0,0,0,2.526,0.01,0.669,16.625,0.0612903226,0.116
1507542252.42052,0,0,0,0,0,0,2.542,0,0.669,16.625,0,0.116
1507542252.43205,0,0,0,0,0,0,2.516,0.042,0.669,16.625,0.1161290323,0.129
1507542252.4436,0,0,0,0,0,0,2.542,0,0.669,16.625,0,0.129
1507542252.45516,0,0,0,0,0,0,2.529,0.045,0.669,16.625,0.1161290323,0.129
1507542252.46668,0,0,0,0,0,0,2.542,0,0.669,16.625,0.0032258065,0.129
1507542252.47819,0,0,0,0,0,0,2.532,0.006,0.669,16.625,0.0225806452,0.129
1507542252.4897,0,0,0,0,0,0,2.51,0.023,0.669,16.625,0.0774193548,0.129
1507542252.50145,0,0,0,0,0,0,2.516,0,0.669,16.625,0,0.129
1507542252.51325,0,0,0,0,0,0,2.513,0.055,0.669,16.625,0.1290322581,0.129
1507542252.52502,0,0,0,0,0,0,2.506,0,0.669,16.625,0,0.129
1507542252.53676,0,0,0,0,0,0,2.539,0.032,0.669,16.625,0.0741935484,0.129
1507542252.54848,0,0,0,0,0,0,2.529,0.003,0.669,16.625,0.0516129032,0.129
1507542252.5602,0,0,0,0,0,0,2.571,0,0.669,16.625,0,0.129
1507542252.57192,0,0,0,0,0,0,2.5,0.042,0.669,16.625,0.1161290323,0.129
1507542252.58372,0,0,0,0,0,0,2.51,0,0.669,16.625,0,0.129
1507542252.59544,0,0,0,0,0,0,2.532,0.045,0.669,16.625,0.1064516129,0.129
1507542252.60715,0,0,0,0,0,0,2.529,0,0.669,16.625,0.0193548387,0.129
1507542252.61886,0,0,0,0,0,0,2.487,0,0.669,16.625,0,0.129
1507542252.63061,0,0,0,0,0,0,2.519,0.035,0.669,16.625,0.0967741935,0.142
1507542252.64243,0,0,0,0,0,0,2.548,0,0.669,16.625,0,0.142
1507542252.65416,0,0,0,0,0,0,2.548,0.058,0.669,16.625,0.1258064516,0.142
1507542252.66595,0,0,0,0,0,0,2.506,0,0.669,16.625,0,0.142
1507542252.67768,0,0,0,0,0,0,2.552,0.019,0.669,16.625,0.035483871,0.142
1507542252.68941,0,0,0,0,0,0,2.535,0.016,0.669,16.625,0.0741935484,0.142
1507542252.70113,0,0,0,0,0,0,2.548,0,0.669,16.625,0,0.142
1507542252.71294,0,0,0,0,0,0,2.506,0.052,0.669,16.625,0.1258064516,0.142
1507542252.72468,0,0,0,0,0,0,2.506,0,0.669,16.625,0,0.142
1507542252.7364,0,0,0,0,0,0,2.526,0.035,0.669,16.625,0.0806451613,0.142
1507542252.7483,0,0,0,0,0,0,2.523,0.003,0.669,16.625,0.0516129032,0.142
1507542252.76013,0,0,0,0,0,0,2.545,0,0.669,16.625,0,0.142
1507542252.77187,0,0,0,0,0,0,2.506,0.045,0.669,16.625,0.1161290323,0.142
1507542252.78371,0,0,0,0,0,0,2.5,0,0.669,16.625,0,0.142
1507542252.79543,0,0,0,0,0,0,2.519,0.045,0.669,16.625,0.1064516129,0.142
1507542252.80715,0,0,0,0,0,0,2.532,0,0.669,16.625,0.0225806452,0.142
1507542252.81892,0,0,0,0,0,0,2.535,0,0.669,16.625,0,0.155
1507542252.83066,0,0,0,0,0,0,2.532,0.032,0.669,16.625,0.1,0.142
1507542252.84248,0,0,0,0,0,0,2.523,0,0.669,16.625,0,0.142
1507542252.8542,0,0,0,0,0,0,2.558,0.055,0.669,16.625,0.1225806452,0.181
1507542252.86593,0,0,0,0,0,0,2.532,0,0.669,16.625,0,0.155
1507542252.87766,0,0,0,0,0,0,2.545,0.019,0.669,16.625,0.0322580645,0.155
1507542252.88939,0,0,0,0,0,0,2.5,0.016,0.669,16.625,0.0741935484,0.155
1507542252.9011,0,0,0,0,0,0,2.523,0,0.669,16.625,0,0.155
1507542252.91292,0,0,0,0,0,0,2.526,0.052,0.669,16.625,0.1290322581,0.155
1507542252.92467,0,0,0,0,0,0,2.539,0,0.669,16.625,0,0.155
1507542252.93643,0,0,0,0,0,0,2.558,0.035,0.669,16.625,0.0741935484,0.155
1507542252.94818,0,0,0,0,0,0,2.494,0.003,0.669,16.625,0.0516129032,0.155
1507542252.95993,0,0,0,0,0,0,2.516,0,0.669,16.625,0,0.155
1507542252.97168,0,0,0,0,0,0,2.494,0.045,0.669,16.625,0.1129032258,0.155
1507542252.98345,0,0,0,0,0,0,2.542,0,0.669,16.625,0,0.155
1507542252.99517,0,0,0,0,0,0,2.548,0.045,0.669,16.625,0.1096774194,0.155
1507542253.0069,0,0,0,0,0,0,2.545,0,0.669,16.625,0.0161290323,0.155
1507542253.01862,0,0,0,0,0,0,2.539,0.003,0.669,16.625,0,0.168
1507542253.03034,0,0,0,0,0,0,2.561,0.032,0.669,16.625,0.0967741935,0.155
1507542253.04216,0,0,0,0,0,0,2.516,0,0.669,16.625,0,0.168
1507542253.05388,0,0,0,0,0,0,2.526,0.055,0.669,16.625,0.1258064516,0.168
1507542253.0656,0,0,0,0,0,0,2.539,0,0.669,16.625,0,0.168
1507542253.07732,0,0,0,0,0,0,2.503,0.026,0.669,16.625,0.0419354839,0.168
1507542253.08902,0,0,0,0,0,0,2.523,0.016,0.669,16.625,0.0709677419,0.155
1507542253.10073,0,0,0,0,0,0,2.516,0,0.669,16.625,0,0.168
1507542253.11253,0,0,0,0,0,0,2.558,0.052,0.669,16.625,0.1258064516,0.168
1507542253.12424,0,0,0,0,0,0,2.548,0,0.669,16.625,0,0.168
1507542253.13596,0,0,0,0,0,0,2.513,0.042,0.669,16.625,0.0870967742,0.168
