t,dr,cr,cr2a,cr2b,pv,fdr,fcr
1491838872.282392, 1.637, 0.799, 1.534, 1.534, 48, 1.637, 0.799 
1491838872.292788, 1.470, 0.799, 1.518, 1.547, 48, 1.470, 0.799 
1491838872.303118, 0.893, 0.802, 1.553, 1.540, 48, 0.893, 0.802 
1491838872.313440, 1.534, 0.802, 1.534, 1.544, 48, 1.534, 0.802 
1491838872.323761, 0.976, 0.802, 1.518, 1.544, 48, 0.976, 0.802 
1491838872.334081, 1.511, 0.802, 1.547, 1.502, 48, 1.511, 0.802 
1491838872.344402, 0.883, 0.802, 1.534, 1.518, 48, 0.883, 0.802 
1491838872.354724, 1.457, 0.799, 1.511, 1.540, 48, 1.457, 0.799 
1491838872.365045, 1.579, 0.802, 1.547, 1.544, 48, 1.579, 0.802 
1491838872.375365, 1.502, 0.802, 1.544, 1.534, 48, 1.502, 0.802 
1491838872.385686, 0.941, 0.802, 1.534, 1.544, 48, 0.941, 0.802 
1491838872.396007, 1.476, 0.802, 1.534, 1.550, 48, 1.476, 0.802 
1491838872.406328, 1.502, 0.802, 1.550, 1.544, 48, 1.502, 0.802 
1491838872.416648, 0.993, 0.802, 1.534, 1.550, 48, 0.993, 0.802 
1491838872.426968, 0.922, 0.802, 1.534, 1.553, 48, 0.922, 0.802 
1491838872.437288, 0.944, 0.802, 1.544, 1.534, 48, 0.944, 0.802 
1491838872.447608, 1.473, 0.802, 1.511, 1.540, 48, 1.473, 0.802 
1491838872.457928, 1.018, 0.802, 1.540, 1.553, 48, 1.018, 0.802 
1491838872.468248, 0.941, 0.802, 1.553, 1.547, 48, 0.941, 0.802 
1491838872.478568, 0.883, 0.799, 1.547, 1.534, 48, 0.883, 0.799 
1491838872.488889, 0.883, 0.802, 1.534, 1.518, 48, 0.883, 0.802 
1491838872.499209, 0.941, 0.802, 1.511, 1.547, 48, 0.941, 0.802 
1491838872.509530, 0.944, 0.802, 1.518, 1.534, 48, 0.944, 0.802 
1491838872.519850, 1.005, 0.802, 1.511, 1.560, 48, 1.005, 0.802 
1491838872.530170, 0.941, 0.802, 1.540, 1.560, 48, 0.941, 0.802 
1491838872.540490, 0.935, 0.802, 1.508, 1.550, 48, 0.935, 0.802 
1491838872.550810, 0.873, 0.802, 1.534, 1.544, 48, 0.873, 0.802 
1491838872.561131, 0.838, 0.812, 1.534, 1.540, 48, 0.838, 0.812 
1491838872.571451, 0.780, 0.802, 1.547, 1.550, 48, 0.780, 0.802 
1491838872.581772, 0.770, 0.802, 1.534, 1.563, 48, 0.770, 0.802 
1491838872.592091, 0.735, 0.802, 1.553, 1.547, 48, 0.735, 0.802 
1491838872.602430, 0.751, 0.819, 1.544, 1.560, 48, 0.751, 0.819 
