vms,spd1,spd2,spd3,spd4,spd5,pv
2.422,31.79760531,31.79760531,31.79760531,31.79760531,31.79760531,0
2.95,63.59521061,63.59521061,63.59521061,63.59521061,63.59521061,8
3.478,95.39281592,127.1904212,111.2916186,111.2916186,111.2916186,16
4.006,143.0892239,143.0892239,143.0892239,143.0892239,143.0892239,24
4.534,158.9880265,158.9880265,174.8868292,174.8868292,174.8868292,32
5.062,206.6844345,206.6844345,206.6844345,206.6844345,206.6844345,40
5.59,222.5832371,254.3808424,270.2796451,270.2796451,270.2796451,48
6.118,286.1784478,302.0772504,302.0772504,286.1784478,317.9760531,56
6.646,349.7736584,317.9760531,317.9760531,349.7736584,333.8748557,64
7.174,349.7736584,381.5712637,365.672461,381.5712637,381.5712637,72
7.702,397.4700663,413.368869,429.2676716,397.4700663,429.2676716,80
8.23,461.0652769,476.9640796,476.9640796,445.1664743,476.9640796,88
8.758,492.8628822,476.9640796,492.8628822,476.9640796,492.8628822,96
9.286,540.5592902,540.5592902,556.4580929,556.4580929,556.4580929,104
9.814,588.2556982,604.1545008,588.2556982,604.1545008,620.0533035,112
10.342,635.9521061,651.8509088,651.8509088,651.8509088,667.7497114,120
10.87,683.6485141,683.6485141,683.6485141,683.6485141,683.6485141,128
