t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,Tc,Vpz,Vms,gamma_dot,tau,mu_en_bal,mu_current_relation
1507719166.81,521.394,357.748,525.505,523.961,525.431,522.082,2.526,0.745,-0.000327928513567,0.0516129032258,0.592879712911,198.891433826,-7044.43846347,6.00749427511e-06,-35.4185111342
1507719166.82,518.421,527.758,525.505,529.829,525.431,522.082,2.539,0.352,-0.00032228844991,0.106451612903,0.589703579526,198.308640202,-6923.28071195,6.12963983503e-06,-34.9116443181
1507719166.84,518.421,527.758,525.505,529.829,525.431,522.082,2.571,0.103,-0.000316649561811,0.0,0.586497925546,197.723223644,-6802.14821335,6.25162243764e-06,-34.402373621
1507719166.85,518.421,527.758,525.505,529.829,525.431,522.082,2.519,0.123,-0.000311015050715,0.154838709677,0.583263637566,197.135372899,-6681.10973989,6.37335262425e-06,-33.8909737082
1507719166.86,518.421,444.431,525.505,406.824,525.431,403.899,2.561,0.003,-0.000305388038122,0.0,0.580001628133,196.545274723,-6560.23234647,6.49474235798e-06,-33.3777159268
1507719166.87,518.421,444.431,174.061,406.824,174.206,403.899,2.548,0.042,-0.000299771571948,0.0870967741935,0.576712835406,195.953111292,-6439.58150731,6.61570513153e-06,-32.8628694122
1507719166.88,326.607,444.431,174.061,709.76,174.206,403.899,2.523,0.01,-0.000294168628931,0.0483870967742,0.573398222516,195.359053279,-6319.22116758,6.73615648123e-06,-32.3467024513
1507719166.89,326.607,374.813,174.061,709.76,174.206,403.899,2.59,0.0,-0.000288582115484,0.0,0.570058777582,194.763252162,-6199.21376178,6.8560146584e-06,-31.8294837088
1507719166.9,522.811,374.813,174.061,515.338,174.206,512.542,2.555,0.039,-0.000283014850697,0.109677419355,0.566695514059,194.165836402,-6079.61984853,6.97520148758e-06,-31.3114807485
1507719166.92,522.811,374.813,174.061,515.338,174.206,512.542,2.555,0.0,-0.000277469529286,0.0,0.563309469802,193.566911315,-5960.49731476,7.09364341032e-06,-30.7929556466
1507719166.93,522.811,374.813,174.061,515.338,174.206,519.32,2.561,0.055,-0.000271948713395,0.148387096774,0.559901705164,192.966560085,-5841.90119943,7.21127180209e-06,-30.2741635487
1507719166.94,515.554,516.816,174.061,518.063,174.206,519.32,2.581,0.0,-0.000266454842262,0.0,0.556473301431,192.364844832,-5723.88390137,7.32802288758e-06,-29.7553532007
1507719166.95,515.554,516.816,174.061,518.063,174.206,519.32,2.548,0.055,-0.000260990221671,0.138709677419,0.553025359611,191.761807932,-5606.49495262,7.44383807145e-06,-29.2367651989
1507719166.96,515.554,516.816,174.061,504.714,174.206,504.799,2.568,0.0,-0.000255557017604,0.0,0.549558999308,191.157473527,-5489.78088193,7.55866414917e-06,-28.7186306694
1507719166.97,515.554,473.754,174.061,504.714,174.206,504.799,2.584,0.029,-0.000250157262482,0.0645161290323,0.546075357655,190.551848386,-5373.78534906,7.67245327929e-06,-28.2011714637
1507719166.98,515.554,473.754,174.061,504.714,174.206,504.799,2.577,0.01,-0.000244792840108,0.0645161290323,0.542575587876,189.944921834,-5258.54882116,7.78516348119e-06,-27.684598095
1507719166.99,325.606,755.894,174.061,502.733,174.206,502.328,2.535,0.0,-0.00023946546844,0.0,0.539060857136,189.336665559,-5144.10820275,7.89675917498e-06,-27.1691074075
1507719167.01,325.606,755.894,174.061,502.733,174.206,502.328,2.584,0.048,-0.000234176721773,0.11935483871,0.535532344372,188.727034087,-5030.49731225,8.00721079843e-06,-26.6548845881
1507719167.02,325.606,613.699,174.061,502.733,174.206,497.018,2.526,0.0,-0.000228928065809,0.0,0.531991238772,188.115965544,-4917.74763534,8.11649411808e-06,-26.1421066581
1507719167.03,325.606,1097.928,174.061,495.574,174.206,497.018,2.565,0.065,-0.000223720879094,0.161290322581,0.528438738921,187.503382263,-4805.88878543,8.22458985169e-06,-25.6309445058
1507719167.04,325.606,1097.928,174.061,495.574,174.206,497.018,2.558,0.0,-0.000218556466861,0.0,0.524876052909,186.889192743,-4694.94880104,8.33148334482e-06,-25.1215639178
1507719167.05,499.786,1097.928,514.386,503.474,502.46,503.22,2.568,0.045,-0.000213436054438,0.116129032258,0.521304399755,186.273296719,-4584.95400423,8.43716441671e-06,-24.6141238974
1507719167.06,499.786,500.848,514.386,503.474,502.46,503.22,2.565,0.0,-0.000208360764891,0.0193548387097,0.517725011148,185.655592482,-4475.92852025,8.5416273065e-06,-24.1087729187
1507719167.07,499.786,500.848,514.386,503.474,502.46,503.22,2.523,0.013,-0.000203331616489,0.0193548387097,0.514139130929,185.035982107,-4367.89422321,8.64487028086e-06,-23.6056477961
1507719167.08,499.786,500.848,488.535,487.963,485.894,488.441,2.555,0.026,-0.000198349556281,0.0903225806452,0.510548011979,184.414371347,-4260.87145727,8.74689486576e-06,-23.1048774895
1507719167.1,499.786,455.388,488.535,487.963,485.894,488.441,2.581,0.0,-0.000193415488182,0.0,0.506952914085,183.790667002,-4154.87963996,8.84770545559e-06,-22.606586655
1507719167.11,499.786,455.388,488.535,487.963,500.868,488.441,2.565,0.052,-0.000188530246247,0.135483870968,0.503355104071,183.164775316,-4049.93668817,8.94731007991e-06,-22.1108926713
1507719167.12,316.797,673.157,483.623,485.924,500.868,463.907,2.552,0.0,-0.000183694553214,0.0,0.499755855943,182.536601454,-3946.05812748,9.0457213976e-06,-21.6179007172
1507719167.13,316.797,673.157,483.623,485.924,500.868,463.907,2.561,0.061,-0.000178909023102,0.151612903226,0.496156449722,181.90604952,-3843.257148,9.14295665473e-06,-21.1277038787
1507719167.14,316.797,645.185,483.059,485.924,480.708,503.643,2.519,0.0,-0.000174174194996,0.00645161290323,0.49255816932,181.273022845,-3741.5453302,9.23903691379e-06,-20.6403869229
1507719167.15,316.797,1061.043,483.059,478.409,480.708,503.643,2.51,0.023,-0.000169490584977,0.0483870967742,0.488962300732,180.637424856,-3640.93376029,9.33398583039e-06,-20.1560322464
1507719167.16,316.797,1061.043,483.059,478.409,480.708,503.643,2.545,0.019,-0.000164858748334,0.0741935483871,0.485370131522,179.999161769,-3541.43436682,9.42782803375e-06,-19.6747269932
1507719167.18,481.34,1061.043,483.296,484.465,484.405,485.126,2.568,0.0,-0.000160279294505,0.0,0.481782950969,179.358146809,-3443.06024148,9.5205883683e-06,-19.1965645427
1507719167.19,481.34,481.399,483.296,484.465,484.405,485.126,2.545,0.042,-0.000155752836035,0.125806451613,0.478202050196,178.714303032,-3345.82454274,9.61229268707e-06,-18.7216383131
1507719167.2,481.34,481.399,483.296,484.465,484.405,485.126,2.548,0.0,-0.000151279943018,0.0,0.474628721982,178.067562083,-3249.73951718,9.70296893841e-06,-18.2500365544
1507719167.21,481.34,481.399,470.516,469.456,470.252,470.424,2.555,0.058,-0.000146861142696,0.158064516129,0.471064260249,177.417859963,-3154.81649078,9.79264760269e-06,-17.7818427718
