t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,Tc,Vpz,Vms,gamma_dot,tau,mu_en_bal,mu_current_relation
1507720739.09,241.127,278.779,350.649,350.737,326.356,352.559,2.555,0.739,3.61184486122e-05,0.258064516129,0.615155979521,1740.07033558,775.883090731,1.89313335875e-07,0.445891798089
1507720739.1,241.127,278.779,347.398,339.766,326.356,348.15,2.552,0.332,3.57497129785e-05,0.151612903226,0.612548529287,1767.01934069,767.962048877,1.82658897181e-07,0.43460873981
1507720739.11,241.127,278.779,347.398,339.766,326.356,348.15,2.552,0.097,3.53900652212e-05,0.0,0.609942165,1793.87606259,760.236229406,1.76338046313e-07,0.423795291804
1507720739.13,241.127,278.779,347.398,339.766,326.356,348.15,2.555,0.119,3.50398889976e-05,0.145161290323,0.607338413929,1820.61992117,752.713873904,1.70333460945e-07,0.413438227909
1507720739.14,364.53,221.756,344.407,339.766,353.858,342.169,2.542,0.0,3.46995311671e-05,0.00967741935484,0.604738827706,1847.22966702,745.402433474,1.64628870426e-07,0.403524503089
1507720739.15,364.53,221.756,344.407,359.274,353.858,342.169,2.513,0.023,3.43692847124e-05,0.0129032258065,0.602144981102,1873.68337131,738.308201859,1.59208986219e-07,0.394041070741
1507720739.16,364.53,221.756,344.407,359.274,353.858,342.169,2.555,0.042,3.40493523182e-05,0.122580645161,0.599558468841,1899.95841606,731.435533061,1.54059432578e-07,0.384974495692
1507720739.17,364.53,221.756,344.407,359.274,353.858,342.169,2.539,0.0,3.37398280775e-05,0.0,0.596980902427,1926.03148432,724.786448348,1.49166687482e-07,0.376310799823
1507720739.19,340.956,221.756,343.006,343.76,353.282,344.486,2.581,0.058,3.34407242828e-05,0.145161290323,0.5944139089,1951.87854982,718.361211784,1.44518038986e-07,0.368035814446
1507720739.2,340.956,344.036,343.006,343.76,353.282,344.486,2.545,0.003,3.31520176403e-05,0.0709677419355,0.591859129923,1977.47486664,712.15932298,1.40101548232e-07,0.360135713983
1507720739.21,340.956,344.036,343.006,343.76,353.282,344.486,2.565,0.0,3.28736774377e-05,0.0,0.589318219238,2002.7949592,706.180122183,1.35906009656e-07,0.35259731354
1507720739.22,340.956,344.036,343.006,343.76,341.483,331.859,2.584,0.052,3.26056750868e-05,0.138709677419,0.586792839468,2027.81261297,700.422995277,1.31920909435e-07,0.345408146096
1507720739.24,340.956,344.036,333.883,333.451,341.483,331.859,2.555,0.0,3.23480014909e-05,0.0,0.584284659918,2052.50086488,694.887746846,1.28136388768e-07,0.338556615852
1507720739.25,39272.509,256.538,333.883,333.451,341.483,331.859,2.59,0.042,3.21006875562e-05,0.0645161290323,0.581795354434,2076.83205302,689.575040808,1.24543203189e-07,0.332032163989
1507720739.26,1472.616,1455.884,333.883,333.451,341.483,331.859,2.535,0.035,3.18638063215e-05,0.132258064516,0.579326598992,2100.77798966,684.486446154,1.21132668071e-07,0.325825217859
1507720739.28,1472.616,1455.884,330.659,329.099,330.338,332.932,2.574,0.0,3.16374552893e-05,0.0,0.57688007084,2124.31008489,679.624057397,1.17896613524e-07,0.319926955218
1507720739.29,1472.616,1455.884,330.659,329.099,330.338,332.932,2.587,0.042,3.14217434696e-05,0.0935483870968,0.574457447892,2147.39923795,674.990216249,1.14827370499e-07,0.314329168195
1507720739.3,1472.616,1455.884,330.659,329.099,330.338,332.932,2.555,0.016,3.12168098138e-05,0.0774193548387,0.572060405809,2170.01566188,670.587907612,1.11917768015e-07,0.309024455165
1507720739.31,1472.616,1455.884,330.659,329.099,326.009,332.932,2.574,0.0,3.10228419784e-05,0.0,0.56969061378,2192.12881773,666.421162654,1.09161116783e-07,0.304006387428
1507720739.32,258.06,268.572,322.602,321.669,326.009,322.145,2.552,0.058,3.08400643406e-05,0.148387096774,0.567349730287,2213.70740173,662.494801363,1.06551183164e-07,0.299269361816
1507720739.34,258.06,268.572,322.602,321.669,326.009,322.145,2.529,0.0,3.06687088408e-05,0.0,0.565039400488,2234.71932153,658.813806196,1.04082164177e-07,0.294808300913
1507720739.35,258.06,268.572,322.602,321.669,326.009,322.145,2.558,0.045,3.05089753779e-05,0.109677419355,0.562761257149,2255.13166502,655.382471306,1.01748664699e-07,0.290618273634
1507720739.36,258.06,268.572,322.602,321.669,323.563,322.145,2.516,0.0,3.03609968759e-05,0.0483870967742,0.560516922537,2274.91067704,652.203652118,9.9545677324e-08,0.286694180435
1507720739.37,319.686,268.572,321.462,322.581,323.563,322.907,2.552,0.0,3.02248205177e-05,0.0,0.55830800771,2294.02174753,649.278362198,9.74685655565e-08,0.283030604613
1507720739.38,319.686,322.193,321.462,322.581,323.563,322.907,2.571,0.052,3.01004090145e-05,0.138709677419,0.556136110492,2312.42940409,646.605800519,9.55130515584e-08,0.279621855429
1507720739.4,319.686,322.193,321.462,322.581,323.563,322.907,2.561,0.0,2.99876783422e-05,0.0,0.55400281441,2330.09730529,644.184162111,9.36752111845e-08,0.276462343718
1507720739.41,319.686,322.193,321.462,322.581,312.532,322.907,2.574,0.042,2.98865475433e-05,0.112903225806,0.551909687938,2346.98823414,642.01170787,9.19514719909e-08,0.273547050015
1507720739.42,319.686,322.193,312.104,311.022,312.532,311.785,2.545,0.003,2.97969586206e-05,0.0548387096774,0.549858282757,2363.0640914,640.087191927,9.03386079601e-08,0.270871701811
1507720739.43,385978.896,39370.814,312.104,311.022,312.532,311.785,2.565,0.0,2.97188665256e-05,0.0,0.54785013102,2378.28654338,638.409646561,8.88336827329e-08,0.268432602597
1507720739.45,383625.366,80145.936,312.104,311.022,312.532,311.785,2.539,0.042,2.96522188928e-05,0.0935483870968,0.545886742603,2392.61969352,636.977946883,8.74338521642e-08,0.266226157299
1507720739.46,383625.366,80145.936,304.272,311.022,307.56,306.216,2.542,0.019,2.95969341589e-05,0.106451612903,0.543969602993,2406.03424169,635.790340773,8.61360852737e-08,0.264248251233
1507720739.47,383625.366,80145.936,304.272,305.274,307.56,306.216,2.565,0.0,2.95528833192e-05,0.0,0.542100171797,2418.51045284,634.844057005,8.4936999617e-08,0.26249382394
1507720739.49,383625.366,80145.936,304.272,305.274,307.56,306.216,2.558,0.058,2.95198950136e-05,0.158064516129,0.54027988221,2430.03904317,634.135414484,8.38328549177e-08,0.260956883086
1507720739.5,383625.366,80145.936,304.272,305.274,307.56,306.216,2.523,0.0,2.94977716072e-05,0.0,0.53851014114,2440.62123419,633.660167689,8.28195958628e-08,0.259630686979
1507720739.51,383625.366,80145.936,304.272,305.274,297.856,306.216,2.568,0.026,2.94862782502e-05,0.0548387096774,0.536792328409,2450.26874807,633.413271665,8.1892880892e-08,0.258507672746
1507720739.52,228.505,244.747,302.994,296.179,297.856,290.214,2.542,0.029,2.94851270275e-05,0.0967741935484,0.53512779437,2459.00308901,633.388541526,8.10481445314e-08,0.257579400513
1507720739.53,228.505,244.747,302.994,296.179,297.856,290.214,2.558,0.0,2.9493986332e-05,0.0,0.533517857446,2466.85268207,633.578853813,8.02807879153e-08,0.256836923591
1507720739.55,228.505,244.747,302.994,296.179,297.856,290.214,2.555,0.055,2.95124940908e-05,0.151612903226,0.531963803201,2473.84858368,633.976430611,7.95864405631e-08,0.256271315388
1507720739.56,228.505,244.747,302.994,296.179,297.856,290.214,2.577,0.0,2.95402701476e-05,0.0,0.530466884332,2480.02162132,634.573105539,7.89611102758e-08,0.255874021454
1507720739.57,293.502,244.747,297.119,296.179,290.523,304.549,2.587,0.035,2.957694735e-05,0.0870967741935,0.529028319665,2485.40167639,635.360991571,7.84011915527e-08,0.255637146143
1507720739.58,293.502,295.603,297.119,287.704,290.523,304.549,2.542,0.01,2.96222061389e-05,0.0774193548387,0.527649291517,2490.01768232,636.333224056,7.79034316719e-08,0.255553696897
1507720739.59,293.502,295.603,297.119,287.704,290.523,304.549,2.552,0.0,2.9675768142e-05,0.0,0.52633094302,2493.89762323,637.483823103,7.74648962681e-08,0.255617478908
1507720739.6,293.502,295.603,297.119,287.704,290.523,304.549,2.535,0.058,2.97373476327e-05,0.148387096774,0.525074377052,2497.0685329,638.806650837,7.70829341588e-08,0.255822634589
1507720739.62,293.502,295.603,297.119,287.704,292.238,285.155,2.555,0.0,2.9806610009e-05,0.0,0.523880656443,2499.55649357,640.294519465,7.67551469822e-08,0.256163251806
1507720739.63,293.502,295.603,277.561,291.931,292.238,285.155,2.587,0.048,2.98831731009e-05,0.116129032258,0.522750804145,2501.38663455,641.939219353,7.64793672353e-08,0.256633345075
1507720739.64,293.502,295.603,277.561,291.931,292.238,285.155,2.552,0.0,2.99666479602e-05,0.058064516129,0.521685802093,2502.58313103,643.73239526,7.62536435392e-08,0.257227177502
1507720739.65,293.502,222.797,277.561,291.931,292.238,285.155,2.555,0.0,3.00566700143e-05,0.0,0.520686588408,2503.16920294,645.666215571,7.60762267482e-08,0.257939501178
1507720739.66,197.543,2607.317,277.561,291.931,279.966,285.155,2.561,0.055,3.01528876481e-05,0.141935483871,0.519754054583,2503.1671174,647.733127024,7.5945552774e-08,0.258765434606
1507720739.68,197.543,2607.317,286.004,291.931,279.966,278.593,2.565,0.0,3.02549459835e-05,0.0,0.518889043937,2502.59820185,649.925506259,7.58602262906e-08,0.259700300982
1507720739.69,197.543,2607.317,286.004,270.032,279.966,278.593,2.568,0.052,3.03624953382e-05,0.11935483871,0.518092350362,2501.48286465,652.235841529,7.58190086896e-08,0.26073967995
1507720739.7,197.543,2607.317,286.004,270.032,279.966,278.593,2.568,0.0,3.04752078634e-05,0.0451612903226,0.517364716399,2499.84060903,654.657090108,7.58208087836e-08,0.261879532536
1507720739.71,197.543,2607.317,286.004,270.032,279.966,278.593,2.561,0.0,3.05927863142e-05,0.0,0.516706830966,2497.69003696,657.182866695,7.58646744514e-08,0.263116262215
1507720739.72,287.561,2607.317,286.004,270.032,269.615,278.593,2.568,0.048,3.07149628154e-05,0.135483870968,0.516119327373,2495.04884969,659.80741689,7.59497845137e-08,0.264446692886
1507720739.74,287.561,230.493,265.665,276.025,269.615,256.634,2.542,0.0,3.08414891627e-05,0.0,0.515602782292,2491.93384541,662.525408863,7.60754410106e-08,0.265867976425
1507720739.75,287.561,230.493,265.665,276.025,269.615,256.634,2.542,0.048,3.09721131431e-05,0.129032258065,0.515157715662,2488.36090613,665.331424666,7.62410615814e-08,0.267377382046
1507720739.76,287.561,230.493,265.665,276.025,269.615,256.634,2.587,0.0,3.11065547995e-05,0.0290322580645,0.514784591551,2484.3449771,668.219450369,7.6446173342e-08,0.268972085813
1507720739.77,287.561,230.493,265.665,276.025,269.615,256.634,2.545,0.003,3.12445170818e-05,0.0,0.514483819622,2479.90005344,671.183104847,7.66904114258e-08,0.270649256173
1507720739.78,287.561,230.493,265.665,276.025,267.556,281.209,2.597,0.039,3.13857194799e-05,0.122580645161,0.514255754315,2475.03917812,674.21636229,7.69735201157e-08,0.272406339362
1507720739.79,264.056,230.493,262.086,266.297,267.556,281.209,2.571,0.0,3.15299271044e-05,0.0,0.51410069075,2469.77444374,677.314176889,7.72953535194e-08,0.274241309203
1507720739.81,264.056,258.153,262.086,266.297,267.556,281.209,2.584,0.058,3.16769765939e-05,0.145161290323,0.514018860927,2464.11699455,680.473039376,7.7655876728e-08,0.276152894072
1507720739.82,264.056,258.153,262.086,266.297,267.556,281.209,2.584,0.0,3.18267924736e-05,0.0,0.514010431517,2458.07702847,683.691328428,7.80551668671e-08,0.27814072566
1507720739.83,264.056,258.153,262.086,266.297,267.556,281.209,2.535,0.003,3.19793811931e-05,0.0,0.514075501327,2451.66379946,686.969182596,7.84934121164e-08,0.280205296806
1507720739.84,264.056,258.153,262.586,266.297,256.108,255.328,2.561,0.042,3.21347934021e-05,0.135483870968,0.514214098137,2444.88561993,690.307689914,7.89709073677e-08,0.282347642068
1507720739.86,264.056,258.153,262.586,254.294,256.108,255.328,2.568,0.0,3.22930793221e-05,0.0,0.514426176775,2437.74986315,693.707929225,7.94880497802e-08,0.284568954227
1507720739.87,264.056,258.153,262.586,254.294,256.108,255.328,2.565,0.052,3.24542847283e-05,0.138709677419,0.514711619337,2430.2629655,697.170883856,8.00453403198e-08,0.286870554238
1507720739.88,225.076,124091.834,262.586,254.294,256.108,255.328,2.565,0.0,3.26184731727e-05,0.041935483871,0.515070236005,2422.43061983,700.697919001,8.0643376701e-08,0.289254071207
1507720739.89,225.076,124091.834,262.586,254.294,256.108,255.328,2.565,0.0,3.27857353622e-05,0.0,0.515501765224,2414.25854178,704.290983198,8.12828059841e-08,0.291721442012
1507720739.9,225.076,124091.834,249.858,254.294,250.029,249.032,2.568,0.042,3.29561885682e-05,0.135483870968,0.516005873566,2405.75361795,707.952595626,8.19642468023e-08,0.294274771259
1507720739.92,225.076,124091.834,249.858,247.893,250.029,249.032,2.577,0.0,3.31299812897e-05,0.0,0.516582155555,2396.92467244,711.685946283,8.26882328018e-08,0.296916275454
1507720739.93,225.076,124091.834,249.858,247.893,250.029,249.032,2.545,0.058,3.33072989818e-05,0.135483870968,0.517230133168,2387.7826608,715.495019051,8.34551912488e-08,0.299648301664
1507720739.94,225.076,124091.834,249.858,247.893,250.029,249.032,2.529,0.0,3.34883435567e-05,0.0129032258065,0.517949254405,2378.34067337,719.38415133,8.4265428964e-08,0.302473131535
1507720739.95,225.076,124091.834,249.858,247.893,250.029,249.032,2.581,0.006,3.36732900544e-05,0.0161290322581,0.518738891238,2368.61393882,723.357103263,8.51191131855e-08,0.305392572173
1507720739.96,225.076,124091.834,249.858,247.893,240.107,249.032,2.539,0.035,3.38622737777e-05,0.116129032258,0.5195983378,2358.61982792,727.416781376,8.60162544124e-08,0.308407812385
1507720739.97,169.597,159.935,238.804,238.254,240.107,232.105,2.597,0.0,3.40554181253e-05,0.0,0.5205268091,2348.37766611,731.565836476,8.69567070172e-08,0.311519670381
1507720739.99,169.597,159.935,238.804,238.254,240.107,232.105,2.571,0.061,3.42528727972e-05,0.145161290323,0.521523442199,2337.90797256,735.807484358,8.7940214451e-08,0.314729019702
1507720740.0,169.597,159.935,238.804,238.254,240.107,232.105,2.561,0.0,3.44548442881e-05,0.0,0.522587303797,2327.23131696,740.14616087,8.89664878601e-08,0.318037212492
1507720740.01,169.597,159.935,238.804,238.254,240.107,232.105,2.552,0.019,3.46615911461e-05,0.0354838709677,0.523717403033,2316.36755878,744.587420042,9.00352588432e-08,0.32144614408
1507720740.02,169.597,159.935,238.804,238.254,237.293,232.105,2.526,0.026,3.48733791281e-05,0.0967741935484,0.524912702352,2305.33566033,749.136970767,9.11462866496e-08,0.324957872148
1507720740.03,169.597,159.935,236.683,238.254,237.293,244.747,2.555,0.0,3.50904294565e-05,0.0,0.526172124769,2294.15369112,753.799565261,9.22993498737e-08,0.328574135281
1507720740.05,231.142,235.852,236.683,235.007,237.293,244.747,2.581,0.065,3.5312902634e-05,0.154838709677,0.5274945595,2282.83883247,758.578651383,9.34942429988e-08,0.332296192177
1507720740.06,231.142,9994.37,236.683,235.007,237.293,244.747,2.584,0.0,3.55409422697e-05,0.0,0.528878865696,2271.40739792,763.477314095,9.47307804731e-08,0.336125221215
1507720740.07,231.142,9994.37,236.683,235.007,237.293,244.747,2.51,0.035,3.57747230385e-05,0.0838709677419,0.530323877435,2259.87489926,768.499305691,9.60087985425e-08,0.340062764512
