t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,T,Vpz,Vms,gamma_dot,tau,mu_en_bal,mu_current_relation
1505831797.84,0.0,0.0,109.521,112.5,112.235,108.961,2.6,0.116,0.0,0.164516129032,2.335,389.356050136,-0.0885177612144,2.21439607741e-05,-0.000227343998337
1505831797.85,0.0,0.0,109.521,100.791,112.235,108.961,2.635,0.113,0.0,0.245161290323,2.335,389.116294221,-0.0884656836123,2.23204755051e-05,-0.000227350241884
1505831797.87,0.0,0.0,109.521,100.791,112.235,108.961,2.597,0.0,0.0,0.0,2.335,388.876647064,-0.0884136038541,2.24974024474e-05,-0.000227356424002
1505831797.88,0.0,0.0,109.521,100.791,112.235,108.961,2.613,0.035,0.0,0.0645161290323,2.335,388.637254315,-0.0883615442035,2.26746615046e-05,-0.000227362516646
1505831797.89,0.0,0.0,109.521,100.791,112.235,108.961,2.571,0.026,0.0,0.0967741935484,2.335,388.398259164,-0.088309526466,2.28521732988e-05,-0.00022736849196
1505831797.9,0.0,0.0,109.521,100.791,112.235,108.961,2.603,0.0,0.0,0.0,2.335,388.159802173,-0.0882575723326,2.30298582175e-05,-0.000227374323252
1505831797.92,0.0,0.0,109.521,100.791,112.235,108.961,2.626,0.058,0.0,0.145161290323,2.335,387.92202137,-0.088205703555,2.32076359094e-05,-0.000227379985399
1505831797.93,0.0,0.0,109.521,100.791,112.235,108.961,2.623,0.0,0.0,0.0,2.323,387.685052349,-0.0881513590867,2.32652439276e-05,-0.000227378792534
1505831797.94,0.0,0.0,109.521,100.791,112.235,108.961,2.577,0.035,0.0,0.0838709677419,2.348,387.44902836,-0.0881051056644,2.36943356599e-05,-0.000227397926476
1505831797.95,0.0,0.0,109.521,100.791,112.235,108.961,2.642,0.006,0.0,0.0612903225806,2.323,387.214080407,-0.0880482399423,2.36187180954e-05,-0.000227389044969
1505831797.96,0.0,0.0,108.154,100.791,112.235,108.961,2.61,0.0,0.0,0.0,2.323,386.980337308,-0.087996923503,2.3795159738e-05,-0.000227393784695
1505831797.97,0.0,0.0,108.154,118.168,54.412,108.961,2.639,0.039,0.0,0.125806451613,2.323,386.747924782,-0.0879457955921,2.39713018444e-05,-0.000227398235276
1505831797.98,0.0,0.0,108.154,118.168,54.412,110.549,2.632,0.0,0.0,0.0,2.323,386.516961813,-0.0878948750981,2.41470701687e-05,-0.00022740237501
1505831798.0,0.0,0.0,108.154,118.168,54.412,110.549,2.619,0.055,0.0,0.138709677419,2.323,386.287555415,-0.0878441799835,2.4322393923e-05,-0.000227406186796
1505831798.01,0.0,0.0,108.154,118.168,54.412,110.549,2.619,0.0,0.0,0.0,2.323,386.05979732,-0.0877937273255,2.44972061571e-05,-0.0002274096602
1505831798.02,0.0,0.0,108.154,118.168,54.412,110.549,2.623,0.023,0.0,0.0516129032258,2.323,385.833763326,-0.087743533486,2.46714434448e-05,-0.000227412792311
1505831798.03,0.0,0.0,108.154,118.168,54.412,110.549,2.606,0.016,0.0,0.0774193548387,2.348,385.609513418,-0.0876989947017,2.51124265795e-05,-0.000227429541155
1505831798.04,0.0,0.0,108.154,118.168,54.412,110.549,2.603,0.0,0.0,0.0,2.31,385.387091859,-0.0876411871654,2.48779492995e-05,-0.000227410800768
1505831798.05,0.0,0.0,108.154,118.168,54.412,110.549,2.616,0.052,0.0,0.132258064516,2.323,385.166527279,-0.0875946608394,2.51901170015e-05,-0.000227420231603
1505831798.07,0.0,0.0,108.154,118.168,54.412,110.549,2.606,0.0,0.0,0.0,2.335,384.947832767,-0.0875482393938,2.54924890882e-05,-0.00022742884085
1505831798.08,0.0,0.0,108.154,118.168,54.412,110.549,2.603,0.048,0.0,0.129032258065,2.323,384.731005954,-0.0874969876919,2.55319886796e-05,-0.000227423800884
1505831798.09,0.0,0.0,108.154,118.168,54.412,110.549,2.619,0.0,0.0,0.0129032258065,2.31,384.516029105,-0.0874458705272,2.55577675878e-05,-0.000227418010975
1505831798.1,0.0,0.0,107.856,118.168,54.412,110.549,2.61,0.006,0.0,0.0193548387097,2.335,384.302869195,-0.0874032960874,2.60039025188e-05,-0.000227433368558
1505831798.11,0.0,0.0,107.856,107.405,107.557,110.549,2.639,0.029,0.0,0.0935483870968,2.31,384.091478907,-0.0873503396851,2.58922243756e-05,-0.000227420665342
1505831798.12,0.0,0.0,107.856,107.405,107.557,107.389,2.597,0.0,0.0,0.0,2.323,383.881800351,-0.0873059546153,2.62045816081e-05,-0.000227429262173
1505831798.13,0.0,0.0,107.856,107.405,107.557,107.389,2.642,0.052,0.0,0.145161290323,2.31,383.673770458,-0.0872563806595,2.62225815641e-05,-0.000227423366876
1505831798.15,0.0,0.0,107.856,107.405,107.557,107.389,2.635,0.0,0.0,0.0,2.31,383.467324383,-0.0872100245962,2.63861259215e-05,-0.00022742491746
1505831798.16,0.0,0.0,107.856,107.405,107.557,107.389,2.577,0.042,0.0,0.106451612903,2.31,383.262396244,-0.0871641013616,2.65485325555e-05,-0.000227426698304
1505831798.17,0.0,0.0,107.856,107.405,107.557,107.389,2.635,0.0,0.0,0.0387096774194,2.31,383.058919134,-0.0871186233883,2.67097669701e-05,-0.000227428781936
1505831798.18,0.0,0.0,107.856,107.405,107.557,107.389,2.629,0.0,0.0,0.0,2.297,382.856825206,-0.0870708051755,2.67185799227e-05,-0.000227423933552
1505831798.19,0.0,0.0,107.856,107.405,107.557,107.389,2.639,0.039,0.0,0.109677419355,2.323,382.65604575,-0.0870318501033,2.71806933425e-05,-0.000227441460993
1505831798.2,0.0,0.0,107.856,107.405,107.557,107.389,2.629,0.0,0.0,0.0,2.31,382.456511276,-0.0869849826269,2.7186103725e-05,-0.000227437578031
1505831798.22,0.0,0.0,107.856,107.405,107.557,107.389,2.658,0.052,0.0,0.148387096774,2.323,382.258151595,-0.0869442025934,2.74961992798e-05,-0.000227448916996
1505831798.23,0.0,0.0,107.856,107.405,107.557,107.389,2.639,0.0,0.0,0.0,2.323,382.060895896,-0.0869011263075,2.76519681494e-05,-0.000227453600305
1505831798.24,0.0,0.0,109.342,107.405,107.557,107.389,2.6,0.035,0.0,0.0870967741935,2.31,381.86467286,-0.0868557626401,2.76507726085e-05,-0.000227451683314
1505831798.25,0.0,0.0,109.342,109.783,109.531,107.389,2.635,0.003,0.0,0.0677419354839,2.297,381.669410966,-0.0868109176469,2.76464895844e-05,-0.000227450550536
1505831798.26,0.0,0.0,109.342,109.783,109.531,109.824,2.616,0.0,0.0,0.0,2.297,381.475039202,-0.0867693970823,2.77964383845e-05,-0.000227457600538
1505831798.27,0.0,0.0,109.342,109.783,109.531,109.824,2.652,0.048,0.0,0.125806451613,2.297,381.281488071,-0.0867284107629,2.79449899762e-05,-0.00022746556934
1505831798.29,0.0,0.0,109.342,109.783,109.531,109.824,2.665,0.0,0.0,0.0,2.323,381.088690402,-0.0866935614474,2.84101051145e-05,-0.000227489200364
1505831798.3,0.0,0.0,109.342,109.783,109.531,109.824,2.623,0.052,0.0,0.138709677419,2.297,380.896581744,-0.0866480683219,2.8237835288e-05,-0.000227484499664
1505831798.31,0.0,0.0,109.342,109.783,109.531,109.824,2.632,0.0,0.0,0.0,2.297,380.705100494,-0.0866087235631,2.8382102223e-05,-0.000227495569276
1505831798.32,0.0,0.0,109.342,109.783,109.531,109.824,2.652,0.026,0.0,0.041935483871,2.323,380.514187975,-0.0865755316024,2.88477945999e-05,-0.000227522479682
1505831798.33,0.0,0.0,109.342,109.783,109.531,109.824,2.619,0.019,0.0,0.0838709677419,2.297,380.323788509,-0.0865317092528,2.86662736323e-05,-0.000227521159252
1505831798.34,0.0,0.0,109.342,109.783,109.531,109.824,2.658,0.0,0.0,0.0,2.31,380.133849498,-0.0864968444869,2.89691926566e-05,-0.000227543126194
1505831798.35,0.0,0.0,109.342,109.783,109.531,109.824,2.632,0.052,0.0,0.135483870968,2.31,379.944321498,-0.0864597484435,2.91083928518e-05,-0.000227558996283
1505831798.37,0.0,0.0,109.342,109.783,109.531,109.824,2.629,0.0,0.0,0.0,2.297,379.755158294,-0.0864204228907,2.90815205071e-05,-0.00022756879269
1505831798.38,0.0,0.0,108.342,109.783,109.531,109.824,2.639,0.045,0.0,0.122580645161,2.297,379.566316954,-0.086384464648,2.92169837906e-05,-0.000227587277347
1505831798.39,0.0,0.0,108.342,108.171,108.281,109.824,2.626,0.0,0.0,0.0161290322581,2.31,379.377757752,-0.0863518743893,2.95170815967e-05,-0.000227614488791
1505831798.4,0.0,0.0,108.342,108.171,108.281,108.197,2.652,0.016,0.0,0.0225806451613,2.297,379.189443827,-0.0863142588332,2.94834735351e-05,-0.000227628327313
1505831798.41,0.0,0.0,108.342,108.171,108.281,108.197,2.635,0.026,0.0,0.0935483870968,2.297,379.001340638,-0.0862800111493,2.96145012435e-05,-0.000227650939187
1505831798.42,0.0,0.0,108.342,108.171,108.281,108.197,2.639,0.0,0.0,0.0,2.297,378.81341556,-0.0862463325511,2.97440542508e-05,-0.000227674968754
1505831798.44,0.0,0.0,108.342,108.171,108.281,108.197,2.623,0.055,0.0,0.141935483871,2.297,378.62563774,-0.0862132214909,2.98721371212e-05,-0.000227700432558
1505831798.45,0.0,0.0,108.342,108.171,108.281,108.197,2.632,0.0,0.0,0.0,2.297,378.437978146,-0.0861806759923,2.99987555138e-05,-0.000227727344952
1505831798.46,0.0,0.0,108.342,108.171,108.281,108.197,2.61,0.039,0.0,0.109677419355,2.297,378.250409638,-0.0861486938331,3.01239156203e-05,-0.000227755718535
1505831798.47,0.0,0.0,108.342,108.171,108.281,108.197,2.658,0.0,0.0,0.0387096774194,2.297,378.062907041,-0.0861172726538,3.02476238259e-05,-0.000227785564386
1505831798.48,0.0,0.0,108.342,108.171,108.281,108.197,2.606,0.0,0.0,0.0,2.297,377.875447223,-0.086086409912,3.03698868248e-05,-0.000227816891901
1505831798.49,0.0,0.0,108.342,108.171,108.281,108.197,2.619,0.032,0.0,0.106451612903,2.297,377.68800917,-0.0860561028669,3.04907116501e-05,-0.000227849708695
1505831798.5,0.0,0.0,108.342,108.171,108.281,108.197,2.616,0.0,0.0,0.0,2.297,377.500574057,-0.0860263487821,3.06101050459e-05,-0.000227884021096
