t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,T,Vpz,Vms,gamma_dot,tau,mu_en_bal,mu_current_relation
1505831797.84,0.0,0.0,109.521,112.5,112.235,108.961,2.6,0.116,0.0,0.164516129032,2.335,40.7732702246,-11903509.1334,0.00201928708454,-291943.939444
1505831797.85,0.0,0.0,109.521,100.791,112.235,108.961,2.635,0.113,0.0,0.245161290323,2.335,40.7481630439,-11666511.9884,0.00203538329787,-286307.679094
1505831797.87,0.0,0.0,109.521,100.791,112.235,108.961,2.597,0.0,0.0,0.0,2.335,40.7230672523,-11429505.0316,0.00205151710037,-280664.149406
1505831797.88,0.0,0.0,109.521,100.791,112.235,108.961,2.613,0.035,0.0,0.0645161290323,2.335,40.6979981022,-11192589.581,0.0020676811881,-275015.728116
1505831797.89,0.0,0.0,109.521,100.791,112.235,108.961,2.571,0.026,0.0,0.0967741935484,2.335,40.6729705886,-10955864.8704,0.00208386832269,-269364.757771
1505831797.9,0.0,0.0,109.521,100.791,112.235,108.961,2.603,0.0,0.0,0.0,2.335,40.6479994309,-10719429.6128,0.00210007124434,-263713.584012
1505831797.92,0.0,0.0,109.521,100.791,112.235,108.961,2.626,0.058,0.0,0.145161290323,2.335,40.6230990834,-10483382.796,0.00211628262589,-258064.574899
1505831797.93,0.0,0.0,109.521,100.791,112.235,108.961,2.623,0.0,0.0,0.0,2.323,40.5982837456,-10236069.4919,0.00212153584723,-252130.596359
1505831797.94,0.0,0.0,109.521,100.791,112.235,108.961,2.577,0.035,0.0,0.0838709677419,2.348,40.5735673712,-10025577.2924,0.00216066432121,-247096.273313
1505831797.95,0.0,0.0,109.521,100.791,112.235,108.961,2.642,0.006,0.0,0.0612903225806,2.323,40.5489636791,-9766790.15062,0.00215376882619,-240864.112531
1505831797.96,0.0,0.0,108.154,100.791,112.235,108.961,2.61,0.0,0.0,0.0,2.323,40.5244861591,-9533256.94059,0.00216985837465,-235246.830846
1505831797.97,0.0,0.0,108.154,118.168,54.412,108.961,2.639,0.039,0.0,0.125806451613,2.323,40.5001479762,-9300581.69391,0.00218592060869,-229643.153388
1505831797.98,0.0,0.0,108.154,118.168,54.412,110.549,2.632,0.0,0.0,0.0,2.323,40.4759615907,-9068850.36982,0.00220194875789,-224055.217305
1505831798.0,0.0,0.0,108.154,118.168,54.412,110.549,2.619,0.055,0.0,0.138709677419,2.323,40.4519382088,-8838144.7126,0.00221793636717,-218485.07399
1505831798.01,0.0,0.0,108.154,118.168,54.412,110.549,2.619,0.0,0.0,0.0,2.323,40.4280874369,-8608542.43761,0.00223387733139,-212934.694253
1505831798.02,0.0,0.0,108.154,118.168,54.412,110.549,2.623,0.023,0.0,0.0516129032258,2.323,40.4044172124,-8380118.00635,0.0022497658668,-207405.986387
1505831798.03,0.0,0.0,108.154,118.168,54.412,110.549,2.606,0.016,0.0,0.0774193548387,2.348,40.3809338169,-8177428.85993,0.00228997870665,-202507.175713
1505831798.04,0.0,0.0,108.154,118.168,54.412,110.549,2.603,0.0,0.0,0.0,2.31,40.3576418857,-7914355.66699,0.00226859694266,-196105.503126
