t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,T,Vpz,Vms,gamma_dot,tau,mu_en_bal,mu_current_relation
1507553538.05,0.0,0.0,0.0,0.0,0.0,0.0,2.565,0.426,-8.09603302332e-05,0.0193548387097,1.18527355614,7646.69070754,-8.09603302332e-05,2.00451874572e-08,-1.05876297773e-08
1507553538.06,0.0,0.0,0.0,0.0,0.0,0.0,2.558,0.187,-8.11183320994e-05,0.0,1.20087218245,7907.44038898,-8.11183320993e-05,1.8950773923e-08,-1.02584816463e-08
1507553538.07,0.0,0.0,0.0,0.0,0.0,0.0,2.581,0.09,-8.12762965217e-05,0.041935483871,1.21644911203,8172.53972023,-8.12762965216e-05,1.79325831584e-08,-9.94504759891e-09
1507553538.08,0.0,0.0,0.0,0.0,0.0,0.0,2.516,0.039,-8.14341237521e-05,0.0,1.23199470014,8441.97560984,-8.14341237521e-05,1.69841073005e-08,-9.64633487654e-09
1507553538.09,0.0,0.0,0.0,0.0,0.0,0.0,2.561,0.032,-8.15917157491e-05,0.0387096774194,1.24749919857,8715.73170407,-8.15917157491e-05,1.60995009815e-08,-9.36143040188e-09
1507553538.11,0.0,0.0,0.0,0.0,0.0,0.0,2.581,0.016,-8.17489780467e-05,0.00645161290323,1.26295277457,8993.78827936,-8.17489780467e-05,1.52735026178e-08,-9.08949327108e-09
1507553538.12,0.0,0.0,0.0,0.0,0.0,0.0,2.574,0.006,-8.1905817932e-05,0.0,1.27834552839,9276.12213311,-8.1905817932e-05,1.45013674889e-08,-8.82974768515e-09
1507553538.13,0.0,0.0,0.0,0.0,0.0,0.0,2.539,0.013,-8.20621414742e-05,0.0516129032258,1.29366751231,9562.70647267,-8.20621414742e-05,1.37788098665e-08,-8.58147656301e-09
1507553538.14,0.0,0.0,0.0,0.0,0.0,0.0,2.523,0.0,-8.22178548385e-05,0.0,1.30890875026,9853.51080273,-8.22178548385e-05,1.31019512053e-08,-8.34401630896e-09
1507553538.16,0.0,0.0,0.0,0.0,0.0,0.0,2.558,0.006,-8.23728686328e-05,0.0,1.32405925592,10148.5008109,-8.23728686328e-05,1.2467274098e-08,-8.11675243147e-09
1507553538.17,0.0,0.0,0.0,0.0,0.0,0.0,2.535,0.013,-8.25271001324e-05,0.0451612903226,1.33910904851,10447.6382518,-8.25271001324e-05,1.18715827042e-08,-7.89911539273e-09
1507553538.18,0.0,0.0,0.0,0.0,0.0,0.0,2.577,0.0,-8.26804722245e-05,0.0,1.35404816537,10750.8808291,-8.26804722245e-05,1.13119689247e-08,-7.69057657127e-09
