t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,Tc,Vpz,Vms,gamma_dot,tau,mu_en_bal,mu_current_relation
1507719730.07,0.0,0.0,357469.091,49.397,393216.0,80.971,2.571,0.677,0.000154640373191,0.00645161290323,0.576019880336,46410.9109444,3321.92702934,2.94430885308e-10,0.0715764237707
1507719730.08,0.0,0.0,357469.091,49.397,393216.0,80.971,2.581,0.345,0.0001524821724,0.0677419354839,0.572948044631,46410.9213354,3275.56536199,2.91961075546e-10,0.070577469004
1507719730.09,0.0,0.0,357469.091,49.397,393216.0,80.971,2.552,0.152,0.000150322862562,0.0774193548387,0.569843673244,46410.9311541,3229.1798705,2.89483281096e-10,0.069578002212
1507719730.1,0.0,0.0,357469.091,49.397,393216.0,80.971,2.565,0.039,0.00014816333573,0.0,0.566707433987,46410.9403735,3182.78971762,2.86998367065e-10,0.0685784362912
1507719730.11,0.0,0.0,357469.091,49.397,393216.0,80.971,2.581,0.081,0.000146004457804,0.138709677419,0.563540015593,46410.9489662,3136.41350428,2.84507187835e-10,0.0675791720305
1507719730.13,0.0,0.0,357469.091,49.397,393216.0,80.971,2.577,0.0,0.000143847077939,0.0,0.560342126373,46410.9569037,3090.06947176,2.82010589819e-10,0.0665806024679
1507719730.14,0.0,0.0,357469.091,49.397,393216.0,80.971,2.571,0.058,0.000141692055043,0.138709677419,0.55711449291,46410.9641574,3043.77607075,2.79509420566e-10,0.0655831251517
1507719730.15,0.0,0.0,357469.091,49.397,393216.0,80.971,2.597,0.0,0.000139540273235,0.0,0.553857858519,46410.9706979,2997.5522936,2.77004533297e-10,0.0645871492996
1507719730.16,0.0,0.0,357469.091,49.397,393216.0,80.971,2.545,0.029,0.000137392647103,0.0677419354839,0.550572981114,46410.976495,2951.41778714,2.74496787157e-10,0.0635930982289
1507719730.17,0.0,0.0,357469.091,49.397,393216.0,80.971,2.558,0.006,0.000135250105145,0.0612903225806,0.547260631044,46410.9815182,2905.39249701,2.71987039351e-10,0.0626014016934
1507719730.18,0.0,0.0,357469.091,49.397,393216.0,80.971,2.594,0.0,0.000133113557672,0.0,0.543921589507,46410.9857363,2859.49597819,2.69476132115e-10,0.0616124810284
1507719730.19,0.0,0.0,357469.091,49.397,393216.0,80.971,2.555,0.042,0.000130983898074,0.112903225806,0.540556647282,46410.9891175,2813.74742212,2.66964892486e-10,0.0606267497338
1507719730.2,0.0,0.0,357469.091,49.397,393216.0,80.971,2.542,0.0,0.000128862016158,0.0,0.537166603464,46410.9916291,2768.16594334,2.64454136461e-10,0.0596446196508
1507719730.22,0.0,0.0,357469.091,49.397,393216.0,80.971,2.539,0.058,0.000126748764441,0.154838709677,0.533752264539,46410.9932383,2722.76985528,2.61944656224e-10,0.0586664853582
1507719730.23,0.0,0.0,357469.091,49.397,393216.0,80.971,2.577,0.0,0.000124644913887,0.0,0.530314444114,46410.9939113,2677.57571951,2.59437204417e-10,0.0576927036863
1507719730.24,0.0,0.0,357469.091,49.397,393216.0,80.971,2.552,0.048,0.000122551159571,0.11935483871,0.526853962658,46410.9936137,2632.59846737,2.56932496817e-10,0.0567235963375
1507719730.25,0.0,0.0,357469.091,49.397,393216.0,80.971,2.548,0.0,0.000120468147653,0.00967741935484,0.523371646608,46410.9923108,2587.85197945,2.54431222162e-10,0.055759462373
1507719730.26,0.0,0.0,357469.091,49.397,393216.0,80.971,2.555,0.016,0.000118396473732,0.0322580645161,0.519868327149,46410.9899668,2543.34905016,2.51934041432e-10,0.0548005774489
1507719730.27,0.0,0.0,357469.091,49.397,393216.0,80.971,2.574,0.023,0.000116336673551,0.0774193548387,0.516344839339,46410.9865457,2499.10118813,2.49441584683e-10,0.0538471895154
1507719730.28,0.0,0.0,357469.091,49.397,393216.0,80.971,2.597,0.0,0.000114289250188,0.0,0.512802021886,46410.9820107,2455.1192003,2.46954461003e-10,0.0528995314026
1507719730.29,0.0,0.0,357469.091,49.397,393216.0,80.971,2.574,0.045,0.000112254729361,0.125806451613,0.509240716927,46410.9763245,2411.41437998,2.44473277758e-10,0.051957846418
1507719730.31,0.0,0.0,357469.091,49.397,393216.0,80.971,2.548,0.0,0.000110233687436,0.0,0.50566176918,46410.9694489,2367.9991084,2.41998649415e-10,0.0510224013098
1507719730.32,0.0,0.0,357469.091,49.397,393216.0,80.971,2.6,0.058,0.000108226731635,0.151612903226,0.502066024441,46410.9613454,2324.8864297,2.39531189465e-10,0.0500934771077
1507719730.33,0.0,0.0,357469.091,49.397,393216.0,80.971,2.603,0.0,0.000106234497363,0.0,0.498454327445,46410.9519748,2282.08999343,2.37071508076e-10,0.0491713678847
1507719730.34,0.0,0.0,357469.091,49.397,393216.0,80.971,2.516,0.042,0.000104257678107,0.103225806452,0.494827519741,46410.9412973,2239.6246968,2.34620220702e-10,0.0482563945957
1507719730.35,0.0,0.0,357469.091,49.397,393216.0,80.971,2.571,0.0,0.000102297001953,0.0258064516129,0.491186438205,46410.9292724,2197.50618029,2.32177938892e-10,0.0473488942096
1507719730.36,0.0,0.0,357469.091,49.397,393216.0,80.971,2.539,0.01,0.000100353161552,0.00645161290323,0.487531914226,46410.9158591,2155.74932316,2.29745246468e-10,0.0464491872927
1507719730.37,0.0,0.0,357469.091,49.397,393216.0,80.971,2.561,0.029,9.84267831781e-05,0.0935483870968,0.483864773858,46410.9010158,2114.36757882,2.27322689991e-10,0.0455575636874
1507719730.38,0.0,0.0,357469.091,49.397,393216.0,80.971,2.555,0.0,9.65184335664e-05,0.0,0.480185838954,46410.8847004,2073.37312164,2.24910782429e-10,0.0446742856774
1507719730.39,0.0,0.0,357469.091,49.397,393216.0,80.971,2.552,0.052,9.46286291058e-05,0.138709677419,0.476495928329,46410.8668699,2032.77704451,2.22510007482e-10,0.0437995922422
1507719730.41,0.0,0.0,357469.091,49.397,393216.0,80.971,2.584,0.0,9.27578471768e-05,0.0,0.472795858036,46410.8474812,1992.58960233,2.20120824042e-10,0.0429337043056
1507719730.42,0.0,0.0,357469.091,49.397,393216.0,80.971,2.558,0.055,9.09065485508e-05,0.145161290323,0.469086441036,46410.8264903,1952.82069323,2.17743673694e-10,0.0420768351031
1507719730.43,0.0,0.0,357469.091,49.397,393216.0,80.971,2.555,0.0,8.90751958253e-05,0.0,0.465368487156,46410.8038526,1913.48025455,2.15378986785e-10,0.0412291987147
1507719730.44,0.0,0.0,357469.091,49.397,393216.0,80.971,2.526,0.035,8.72642353307e-05,0.0838709677419,0.461642802973,46410.7795232,1874.57787419,2.13027176808e-10,0.0403910016908
1507719730.45,0.0,0.0,357469.091,49.397,393216.0,80.971,2.513,0.01,8.54740404213e-05,0.0677419354839,0.457910191353,46410.7534566,1836.12157242,2.10688622965e-10,0.0395624168037
1507719730.46,0.0,0.0,357469.091,49.397,393216.0,80.971,2.568,0.0,8.37048573687e-05,0.0,0.454171451314,46410.7256065,1798.11663955,2.08363654555e-10,0.0387435580041
1507719730.47,0.0,0.0,357469.091,49.397,393216.0,80.971,2.584,0.042,8.19568164122e-05,0.11935483871,0.450427377895,46410.6959265,1760.56587333,2.06052555991e-10,0.0379344855359
1507719730.48,0.0,0.0,357469.091,49.397,393216.0,80.971,2.574,0.0,8.02300122082e-05,0.0,0.44667876138,46410.6643693,1723.47130714,2.03755592287e-10,0.0371352431722
1507719730.5,0.0,0.0,357469.091,49.397,393216.0,80.971,2.561,0.058,7.85245703607e-05,0.154838709677,0.442926386196,46410.6308873,1686.83563915,2.0147302902e-10,0.0363458890107
1507719730.51,0.0,0.0,357469.091,49.397,393216.0,80.971,2.584,0.0,7.68406561359e-05,0.0,0.439171029814,46410.5954325,1650.66241955,1.9920513415e-10,0.0355664995065
1507719730.52,0.0,0.0,357469.091,49.397,393216.0,80.971,2.568,0.045,7.51784684524e-05,0.116129032258,0.435413461655,46410.5579562,1614.95592143,1.96952175399e-10,0.0347971666912
1507719730.53,0.0,0.0,357469.091,49.397,393216.0,80.971,2.555,0.0,7.3538240415e-05,0.0161290322581,0.431654442319,46410.5184095,1579.72115228,1.94714419782e-10,0.0340379984196
1507719730.54,0.0,0.0,357469.091,49.397,393216.0,80.971,2.545,0.01,7.19202193075e-05,0.0225806451613,0.427894723459,46410.4767427,1544.96342413,1.9249212751e-10,0.03328910911
1507719730.55,0.0,0.0,357469.091,49.397,393216.0,80.971,2.574,0.026,7.03246331766e-05,0.0838709677419,0.424135047663,46410.4329061,1510.68763582,1.90285542361e-10,0.0325506042764
1507719730.56,0.0,0.0,357469.091,49.397,393216.0,80.971,2.552,0.0,6.87516826677e-05,0.0,0.420376147687,46410.3868492,1476.89809753,1.88094889423e-10,0.0318225767505
1507719730.57,0.0,0.0,357469.091,49.397,393216.0,80.971,2.565,0.052,6.72015538905e-05,0.129032258065,0.416618745354,46410.3385214,1443.5988072,1.85920378735e-10,0.0311051126363
1507719730.59,0.0,0.0,357469.091,49.397,393216.0,80.971,2.565,0.0,6.56744260034e-05,0.0,0.412863550791,46410.2878716,1410.79361344,1.83762207415e-10,0.0303982948208
1507719730.6,0.0,0.0,357469.091,49.397,393216.0,80.971,2.545,0.055,6.41704716572e-05,0.148387096774,0.409111262303,46410.2348483,1378.48622507,1.81620560006e-10,0.0297022031795
1507719730.61,0.0,0.0,357469.091,49.397,393216.0,80.971,2.581,0.0,6.26898540151e-05,0.0,0.405362566255,46410.1793998,1346.68014712,1.79495607877e-10,0.0290169131973
1507719730.62,0.0,0.0,357469.091,49.397,393216.0,80.971,2.584,0.039,6.123273797e-05,0.1,0.401618136616,46410.121474,1315.37892173,1.77387512369e-10,0.0283425011604
1507719730.63,0.0,0.0,357469.091,49.397,393216.0,80.971,2.545,0.0,5.97993194473e-05,0.0354838709677,0.397878635166,46410.0610184,1284.58675771,1.75296432924e-10,0.0276790577199
1507719730.64,0.0,0.0,357469.091,49.397,393216.0,80.971,2.574,0.0,5.83898299641e-05,0.0,0.394144712336,46409.9979804,1254.30862843,1.73222528485e-10,0.0270266900024
1507719730.65,0.0,0.0,357469.091,49.397,393216.0,80.971,2.535,0.029,5.70045086301e-05,0.0967741935484,0.390417007407,46409.9323071,1224.54967035,1.71165949935e-10,0.0263855086502
1507719730.66,0.0,0.0,357469.091,49.397,393216.0,80.971,2.571,0.0,5.56435768025e-05,0.0,0.386696148053,46409.8639455,1195.31463857,1.69126833373e-10,0.0257556160901
1507719730.67,0.0,0.0,357469.091,49.397,393216.0,80.971,2.555,0.055,5.43072311075e-05,0.145161290323,0.382982750204,46409.7928421,1166.60775697,1.67105298658e-10,0.0251371033036
1507719730.69,0.0,0.0,357469.091,49.397,393216.0,80.971,2.548,0.0,5.29956488018e-05,0.0,0.379277417918,46409.7189435,1138.43283329,1.65101451211e-10,0.0245300523081
1507719730.7,0.0,0.0,357469.091,49.397,393216.0,80.971,2.548,0.055,5.17089834198e-05,0.138709677419,0.375580742906,46409.6421961,1110.7931657,1.63115381135e-10,0.0239345341429
1507719730.71,0.0,0.0,357469.091,49.397,393216.0,80.971,2.552,0.0,5.04473480428e-05,0.0,0.371893304401,46409.5625462,1083.69118339,1.61147159426e-10,0.0233506011246
1507719730.72,0.0,0.0,357469.091,49.397,393216.0,80.971,2.565,0.026,4.92108119599e-05,0.0709677419355,0.368215669002,46409.4799399,1057.12837477,1.59196837767e-10,0.0227782853017
1507719730.73,0.0,0.0,357469.091,49.397,393216.0,80.971,2.535,0.006,4.79994115257e-05,0.058064516129,0.364548390206,46409.3943235,1031.10552083,1.57264451708e-10,0.02221760348
1507719730.74,0.0,0.0,357469.091,49.397,393216.0,80.971,2.581,0.0,4.68131559802e-05,0.0,0.360892008577,46409.305643,1005.62282004,1.55350022735e-10,0.0216685599171
1507719730.75,0.0,0.0,357469.091,49.397,393216.0,80.971,2.584,0.039,4.56520445207e-05,0.112903225806,0.357247052584,46409.2138446,980.680255156,1.5345356327e-10,0.0211311542238
1507719730.76,0.0,0.0,357469.091,49.397,393216.0,80.971,2.526,0.0,4.45160991606e-05,0.0,0.353614038867,46409.1188746,956.278299073,1.51575084903e-10,0.0206053965742
1507719730.78,0.0,0.0,357469.091,49.397,393216.0,80.971,2.581,0.058,4.34053639781e-05,0.151612903226,0.349993471891,46409.0206792,932.417898653,1.49714597946e-10,0.0200913073581
1507719730.79,0.0,0.0,357469.091,49.397,393216.0,80.971,2.552,0.0,4.23198796377e-05,0.0,0.346385843877,46408.9192049,909.099927441,1.47872105328e-10,0.0195889053875
1507719730.8,0.0,0.0,357469.091,49.397,393216.0,80.971,2.594,0.048,4.12596910165e-05,0.125806451613,0.342791634651,46408.8143983,886.325349468,1.46047604491e-10,0.0190982114273
1507719730.81,0.0,0.0,357469.091,49.397,393216.0,80.971,2.558,0.0,4.02248792752e-05,0.00322580645161,0.339211311134,46408.7062063,864.095908199,1.4424109461e-10,0.01861926304
