t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,T,Vpz,Vms,gamma_dot,tau,mu_en_bal,mu_current_relation
1505832156.76,0.0,0.0,111.637,111.812,111.903,111.641,2.632,0.0,0.0,0.0,2.335,390.966679558,-0.0852543397625,3.12242773183e-05,-0.000218060372457
1505832156.77,0.0,0.0,111.85,111.812,111.522,123.016,2.619,0.058,0.0,0.138709677419,2.348,390.974131051,-0.0852641748366,3.13768363163e-05,-0.000218081371797
1505832156.79,0.0,0.0,111.85,111.392,111.522,123.016,2.648,0.0,0.0,0.0516129032258,2.361,390.978797922,-0.0852740240155,3.15295699146e-05,-0.000218103959776
1505832156.8,0.0,0.0,111.85,111.392,111.522,123.016,2.613,0.0,0.0,0.0,2.387,390.980587791,-0.0852866820986,3.18560007885e-05,-0.000218135336541
1505832156.81,0.0,0.0,111.85,111.392,111.522,123.016,2.639,0.065,0.0,0.138709677419,2.374,390.979413795,-0.0852909548201,3.16622961475e-05,-0.000218146919789
1505832156.83,0.0,0.0,111.85,111.392,111.522,123.016,2.61,0.0,0.0,0.00967741935484,2.387,390.975194805,-0.0853008285578,3.18158361306e-05,-0.000218174527927
1505832156.84,0.0,0.0,111.85,111.392,111.522,123.016,2.623,0.01,0.0,0.0225806451613,2.374,390.967855411,-0.0853051094762,3.16233231298e-05,-0.000218189573121
1505832156.85,0.0,0.0,111.85,111.392,111.522,123.016,2.635,0.032,0.0,0.109677419355,2.374,390.957325928,-0.0853121889176,3.16045967767e-05,-0.00021821355749
1505832156.86,0.0,0.0,111.85,111.392,111.522,123.016,2.639,0.0,0.0,0.0,2.374,390.943542395,-0.0853192671668,3.15863976181e-05,-0.000218239356619
1505832156.87,0.0,0.0,111.85,111.392,111.522,123.016,2.626,0.061,0.0,0.154838709677,2.374,390.926446585,-0.0853263424059,3.15687394524e-05,-0.000218266999205
1505832156.88,0.0,0.0,111.85,111.392,111.522,123.016,2.642,0.0,0.0,0.0,2.374,390.905986003,-0.0853334127788,3.15516352851e-05,-0.000218296510758
1505832156.9,0.0,0.0,111.85,111.392,111.522,123.016,2.639,0.035,0.0,0.0903225806452,2.361,390.882113898,-0.0853376785343,3.13624115318e-05,-0.000218320755798
1505832156.91,0.0,0.0,108.951,111.392,111.522,123.016,2.645,0.006,0.0,0.0612903225806,2.361,390.854789208,-0.0853447332638,3.13465391837e-05,-0.00021835406811
1505832156.92,0.0,0.0,108.951,109.255,109.281,123.016,2.629,0.0,0.0,0.0,2.361,390.823976211,-0.0853517768236,3.13312534562e-05,-0.00021838930572
1505832156.93,0.0,0.0,108.951,109.255,109.281,109.898,2.606,0.048,0.0,0.138709677419,2.374,390.789643482,-0.0853616045876,3.14889992145e-05,-0.000218433640735
1505832156.94,0.0,0.0,108.951,109.255,109.281,109.898,2.632,0.0,0.0,0.0,2.361,390.751761906,-0.0853658207433,3.1302486829e-05,-0.000218465606724
1505832156.95,0.0,0.0,108.951,109.255,109.281,109.898,2.645,0.055,0.0,0.135483870968,2.361,390.710302505,-0.0853728167703,3.12890264806e-05,-0.000218506694661
1505832156.97,0.0,0.0,108.951,109.255,109.281,109.898,2.665,0.0,0.0,0.0225806451613,2.361,390.665235195,-0.0853797928718,3.1276194665e-05,-0.000218549758668
1505832156.98,0.0,0.0,108.951,109.255,109.281,109.898,2.626,0.003,0.0,0.0129032258065,2.361,390.616528518,-0.0853867467201,3.12640026352e-05,-0.000218594812268
1505832156.99,0.0,0.0,108.951,109.255,109.281,109.898,2.597,0.029,0.0,0.103225806452,2.361,390.564149654,-0.0853936755953,3.12524630456e-05,-0.000218641868873
1505832157.0,0.0,0.0,108.951,109.255,109.281,109.898,2.635,0.0,0.0,0.0,2.348,390.508064444,-0.0853977790006,3.10695680591e-05,-0.000218683778329
1505832157.01,0.0,0.0,108.951,109.255,109.281,109.898,2.652,0.052,0.0,0.158064516129,2.348,390.44823741,-0.0854046502775,3.1059427094e-05,-0.000218734884921
1505832157.02,0.0,0.0,108.951,109.255,109.281,109.898,2.645,0.0,0.0,0.0,2.348,390.384631778,-0.0854114893356,3.10499717462e-05,-0.000218788042312
1505832157.04,0.0,0.0,108.951,109.255,109.281,109.898,2.652,0.042,0.0,0.0935483870968,2.348,390.317209502,-0.0854182935584,3.10412153884e-05,-0.000218843267678
1505832157.05,0.0,0.0,111.615,109.255,111.578,123.028,2.603,0.0,0.0,0.058064516129,2.374,390.245931686,-0.085430655544,3.13768110868e-05,-0.000218914916486
1505832157.06,0.0,0.0,111.615,111.705,111.578,123.028,2.623,0.0,0.0,0.0,2.335,390.170760268,-0.0854289872497,3.08540808816e-05,-0.000218952817456
1505832157.07,0.0,0.0,111.615,111.705,111.578,123.028,2.668,0.052,0.0,0.138709677419,2.361,390.091660657,-0.0854412639226,3.11910317904e-05,-0.000219028686178
1505832157.08,0.0,0.0,111.615,111.705,111.578,123.028,2.577,0.0,0.0,0.0,2.348,390.008603689,-0.0854450999397,3.10134763655e-05,-0.000219085166664
1505832157.09,0.0,0.0,111.615,111.705,111.578,123.028,2.603,0.055,0.0,0.141935483871,2.335,389.921566275,-0.0854488860063,3.08367496898e-05,-0.000219143780178
1505832157.11,0.0,0.0,111.615,111.705,111.578,123.028,2.613,0.0,0.0,0.00645161290323,2.335,389.830531482,-0.0854554178154,3.08325065209e-05,-0.000219211711023
1505832157.12,0.0,0.0,111.615,111.705,111.578,123.028,2.632,0.016,0.0,0.0354838709677,2.335,389.735488579,-0.0854618962593,3.08290425346e-05,-0.000219281791789
1505832157.13,0.0,0.0,111.615,111.705,111.578,123.028,2.616,0.023,0.0,0.0935483870968,2.335,389.636433061,-0.0854683206487,3.08263608768e-05,-0.000219354026976
1505832157.14,0.0,0.0,111.615,111.705,111.578,123.028,2.619,0.0,0.0,0.0,2.335,389.533366697,-0.0854746906342,3.08244628118e-05,-0.000219428418569
1505832157.15,0.0,0.0,111.615,111.705,111.578,123.028,2.619,0.055,0.0,0.148387096774,2.335,389.426297561,-0.0854810061991,3.0823347733e-05,-0.000219504965983
1505832157.16,0.0,0.0,111.615,111.705,111.578,123.028,2.645,0.0,0.0,0.0,2.348,389.315240082,-0.0854900654911,3.0994618794e-05,-0.000219590852578
1505832157.18,0.0,0.0,110.709,111.705,111.578,123.028,2.661,0.042,0.0,0.1,2.335,389.200215059,-0.0854934754217,3.08234553876e-05,-0.000219664512284
1505832157.19,0.0,0.0,110.709,111.252,111.218,123.028,2.587,0.0,0.0,0.058064516129,2.323,389.08124961,-0.0854970470623,3.06662567189e-05,-0.000219740856564
1505832157.2,0.0,0.0,110.709,111.252,111.218,111.739,2.6,0.0,0.0,0.0,2.335,388.95837678,-0.0855057305637,3.08266535973e-05,-0.000219832598211
1505832157.21,0.0,0.0,110.709,111.252,111.218,111.739,2.639,0.048,0.0,0.132258064516,2.348,388.831634399,-0.0855145765453,3.1001039222e-05,-0.000219927004338
1505832157.22,0.0,0.0,110.709,111.252,111.218,111.739,2.632,0.0,0.0,0.0,2.323,388.701063545,-0.0855151927363,3.06744387796e-05,-0.000220002466565
1505832157.23,0.0,0.0,110.709,111.252,111.218,111.739,2.665,0.055,0.0,0.141935483871,2.323,388.566707579,-0.0855211392326,3.06786563132e-05,-0.000220093841198
1505832157.25,0.0,0.0,110.709,111.252,111.218,111.739,2.629,0.0,0.0,0.00967741935484,2.323,388.428611949,-0.0855270366463,3.06836035647e-05,-0.000220187272552
1505832157.26,0.0,0.0,110.709,111.252,111.218,111.739,2.648,0.016,0.0,0.0354838709677,2.323,388.286824243,-0.0855328855468,3.06892725919e-05,-0.000220282739991
1505832157.27,0.0,0.0,110.709,111.252,111.218,111.739,2.632,0.023,0.0,0.0935483870968,2.335,388.141394245,-0.0855412686896,3.08542219719e-05,-0.000220386874366
1505832157.28,0.0,0.0,110.709,111.252,111.218,111.739,2.626,0.0,0.0,0.0,2.323,387.992373988,-0.085544438082,3.07027484319e-05,-0.000220479689337
