tau,gam_dot,mu
6.24088,4.99999,1.24818
7.70596,6.2947,1.2242
9.51468,7.92455,1.20066
11.9045,9.97615,1.19329
14.985,12.5595,1.19312
18.8537,15.8113,1.19242
23.6714,19.9055,1.18919
29.8014,25.0594,1.18923
37.4845,31.5476,1.18819
47.146,39.7167,1.18706
59.3036,49.9998,1.18608
74.6215,62.9459,1.18549
93.8226,79.2461,1.18394
118.004,99.7659,1.18281
148.403,125.595,1.1816
186.468,158.115,1.17931
234.487,199.054,1.17801
293.936,250.003,1.17573
7.13403,4.99986,1.42685
8.92398,6.29437,1.41777
11.2112,7.92403,1.41483
14.1319,9.976,1.41659
17.7754,12.5591,1.41533
22.3536,15.8107,1.41383
28.1038,19.9047,1.41192
35.3137,25.0581,1.40927
44.4085,31.5461,1.40773
55.836,39.7141,1.40595
70.2011,49.9978,1.40408
88.2626,62.9431,1.40226
110.968,79.2397,1.4004
139.415,99.7587,1.39752
175.05,125.59,1.39382
220.098,158.104,1.3921
276.482,199.046,1.38903
346.305,249.989,1.38528
7.18934,4.99999,1.43787
8.90273,6.29496,1.41426
11.0797,7.9247,1.39813
13.8698,9.97631,1.39027
17.4622,12.5597,1.39034
21.921,15.8117,1.38638
27.5866,19.9059,1.38585
34.7084,25.0602,1.385
43.6539,31.5484,1.38371
54.8961,39.7165,1.3822
69.0562,50.0006,1.38111
86.8413,62.9472,1.37959
109.22,79.2455,1.37825
137.367,99.7645,1.37691
172.648,125.595,1.37464
216.97,158.117,1.37221
272.495,199.059,1.36892
341.512,250.007,1.36601
