t,dr,cr,cr2a,cr2b,pv,fdr,fcr
1491855407.380320, 1.457, 0.799, 1.502, 1.511, 0, 1.457, 0.799 
1491855407.480921, 0.822, 0.799, 1.511, 1.544, 0, 0.822, 0.799 
1491855407.581412, 0.893, 0.802, 1.511, 1.511, 0, 0.893, 0.802 
1491855407.681800, 0.699, 0.799, 1.518, 1.540, 0, 0.699, 0.799 
1491855407.782185, 0.180, 0.802, 1.534, 1.511, 0, 0.180, 0.802 
1491855407.882569, 0.039, 0.799, 1.540, 1.544, 0, 0.039, 0.799 
1491855407.982953, 0.738, 0.802, 1.511, 1.518, 0, 0.738, 0.802 
1491855408.083337, 0.674, 0.802, 1.553, 1.553, 0, 0.674, 0.802 
1491855408.183720, 0.632, 0.812, 1.534, 1.547, 0, 0.632, 0.812 
1491855408.284109, 0.822, 0.822, 1.576, 1.573, 0, 0.822, 0.822 
1491855408.384522, 0.116, 0.822, 1.560, 1.560, 1, 0.116, 0.822 
1491855408.484999, 0.119, 0.831, 1.579, 1.595, 1, 0.119, 0.831 
1491855408.585389, 0.168, 0.819, 1.560, 1.560, 1, 0.168, 0.819 
1491855408.685801, 0.664, 0.819, 1.563, 1.576, 1, 0.664, 0.819 
1491855408.786188, 0.635, 0.819, 1.576, 1.563, 1, 0.635, 0.819 
1491855408.886572, 0.651, 0.838, 1.605, 1.579, 1, 0.651, 0.838 
1491855408.986958, 0.187, 0.838, 1.598, 1.579, 1, 0.187, 0.838 
1491855409.087343, 0.622, 0.831, 1.576, 1.579, 1, 0.622, 0.831 
1491855409.187729, 0.184, 0.831, 1.576, 1.579, 1, 0.184, 0.831 
1491855409.288112, 0.184, 0.812, 1.550, 1.534, 1, 0.184, 0.812 
1491855409.388497, 0.767, 0.812, 1.560, 1.576, 2, 0.767, 0.812 
1491855409.488976, 0.677, 0.831, 1.579, 1.595, 2, 0.677, 0.831 
1491855409.589363, 0.699, 0.822, 1.553, 1.563, 2, 0.699, 0.822 
1491855409.689748, 0.016, 0.831, 1.595, 1.576, 2, 0.016, 0.831 
1491855409.790135, 0.738, 0.812, 1.560, 1.563, 2, 0.738, 0.812 
1491855409.890518, 0.064, 0.838, 1.598, 1.576, 2, 0.064, 0.838 
1491855409.990904, 0.184, 0.831, 1.605, 1.579, 2, 0.184, 0.831 
1491855410.091286, 0.097, 0.812, 1.553, 1.534, 2, 0.097, 0.812 
1491855410.191672, 0.738, 0.838, 1.579, 1.576, 2, 0.738, 0.838 
1491855410.292056, 0.738, 0.831, 1.579, 1.563, 2, 0.738, 0.831 
1491855410.392460, 0.313, 1.805, 2.597, 2.552, 3, 0.313, 1.805 
1491855410.493231, 0.406, 1.805, 2.578, 2.546, 3, 0.406, 1.805 
1491855410.593901, 0.522, 1.840, 2.639, 2.633, 3, 0.522, 1.840 
1491855410.694562, 0.857, 1.789, 2.575, 2.575, 3, 0.857, 1.789 
1491855410.795222, 0.058, 1.843, 2.668, 2.617, 3, 0.058, 1.843 
1491855410.895931, 0.483, 1.805, 2.597, 2.575, 3, 0.483, 1.805 
1491855410.996591, 0.902, 1.843, 2.655, 2.649, 3, 0.902, 1.843 
1491855411.097254, 0.238, 1.792, 2.581, 2.552, 3, 0.238, 1.792 
1491855411.197914, 0.251, 1.843, 2.701, 2.655, 3, 0.251, 1.843 
1491855411.298575, 0.690, 1.792, 2.552, 2.588, 3, 0.690, 1.792 
1491855411.399239, 0.725, 1.808, 2.597, 2.565, 4, 0.725, 1.808 
1491855411.500020, 0.032, 1.805, 2.562, 2.572, 4, 0.032, 1.805 
1491855411.600686, 0.583, 1.795, 2.581, 2.588, 4, 0.583, 1.795 
1491855411.701346, 0.609, 1.840, 2.630, 2.681, 4, 0.609, 1.840 
1491855411.802006, 0.670, 1.808, 2.565, 2.597, 4, 0.670, 1.808 
1491855411.902667, 0.274, 1.805, 2.578, 2.617, 4, 0.274, 1.805 
1491855412.003323, 0.300, 1.840, 2.633, 2.565, 4, 0.300, 1.840 
1491855412.103983, 0.896, 1.798, 2.604, 2.575, 4, 0.896, 1.798 
1491855412.204644, 0.696, 1.837, 2.617, 2.665, 4, 0.696, 1.837 
1491855412.305305, 0.322, 1.805, 2.581, 2.581, 4, 0.322, 1.805 
1491855412.406016, 0.148, 1.808, 2.597, 2.617, 5, 0.148, 1.808 
