t,dr,cr,cr2a,cr2b,pv,fdr,fcr,T
1491869995.083274, 1.795, 1.763, 2.504, 2.504, 0, 1.795, 1.763, 17.500 
1491869996.002541, 0.329, 1.808, 2.617, 2.588, 0, 0.329, 1.808, 17.500 
1491869996.922497, 0.042, 1.805, 2.562, 2.614, 0, 0.042, 1.805, 17.500 
1491869997.842416, 0.409, 1.795, 2.591, 2.597, 0, 0.409, 1.795, 17.500 
1491869998.762443, 0.042, 1.814, 2.597, 2.633, 8, 0.042, 1.814, 17.500 
1491869999.682509, 0.438, 1.824, 2.601, 2.591, 8, 0.438, 1.824, 17.500 
1491870000.602489, 0.674, 1.821, 2.594, 2.597, 8, 0.674, 1.821, 17.500 
1491870001.522491, 0.093, 1.805, 2.649, 2.604, 8, 0.093, 1.805, 17.500 
1491870002.442445, 0.052, 1.824, 2.630, 2.630, 16, 0.052, 1.824, 17.500 
1491870003.362489, 0.558, 1.795, 2.601, 2.568, 16, 0.558, 1.795, 17.500 
1491870004.282471, 0.583, 1.805, 2.575, 2.630, 16, 0.583, 1.805, 17.500 
1491870005.202462, 0.480, 1.805, 2.588, 2.588, 16, 0.480, 1.805, 17.500 
1491870006.122389, 0.664, 1.805, 2.633, 2.617, 24, 0.664, 1.805, 17.562 
1491870007.042505, 0.570, 1.805, 2.604, 2.588, 24, 0.570, 1.805, 17.500 
1491870007.962491, 0.425, 1.805, 2.614, 2.591, 24, 0.425, 1.805, 17.500 
1491870008.882487, 0.783, 1.805, 2.604, 2.588, 24, 0.783, 1.805, 17.562 
1491870009.802454, 0.032, 1.805, 2.597, 2.578, 32, 0.032, 1.805, 17.500 
1491870010.722467, 0.032, 1.805, 2.614, 2.617, 32, 0.032, 1.805, 17.500 
1491870011.642512, 0.841, 1.805, 2.620, 2.630, 32, 0.841, 1.805, 17.562 
1491870012.562467, 0.628, 1.805, 2.630, 2.597, 32, 0.628, 1.805, 17.562 
1491870013.482462, 0.483, 1.830, 2.659, 2.633, 40, 0.483, 1.830, 17.562 
1491870014.402416, 0.835, 1.805, 2.597, 2.588, 40, 0.835, 1.805, 17.562 
1491870015.322492, 0.599, 1.805, 2.591, 2.588, 40, 0.599, 1.805, 17.562 
1491870016.242534, 0.583, 1.805, 2.588, 2.591, 40, 0.583, 1.805, 17.562 
1491870017.162460, 1.025, 1.805, 2.604, 2.607, 48, 1.025, 1.805, 17.562 
1491870018.082393, 1.128, 1.840, 2.672, 2.655, 48, 1.128, 1.840, 17.562 
1491870019.002506, 1.044, 1.805, 2.578, 2.617, 48, 1.044, 1.805, 17.562 
1491870019.922399, 1.089, 1.837, 2.655, 2.665, 48, 1.089, 1.837, 17.562 
1491870020.842449, 1.022, 1.824, 2.630, 2.617, 56, 1.022, 1.824, 17.562 
1491870021.762383, 1.254, 1.805, 2.617, 2.639, 56, 1.254, 1.805, 17.562 
1491870022.682496, 0.622, 1.818, 2.617, 2.633, 56, 0.622, 1.818, 17.562 
1491870023.602487, 1.115, 1.824, 2.607, 2.617, 56, 1.115, 1.824, 17.562 
1491870024.522465, 1.125, 1.805, 2.604, 2.630, 64, 1.125, 1.805, 17.562 
1491870025.442409, 1.289, 1.847, 2.701, 2.684, 64, 1.289, 1.847, 17.562 
1491870026.362504, 1.118, 1.805, 2.633, 2.630, 64, 1.118, 1.805, 17.562 
1491870027.282484, 1.070, 1.847, 2.668, 2.691, 64, 1.070, 1.847, 17.562 
1491870028.202498, 1.118, 1.840, 2.665, 2.591, 64, 1.118, 1.840, 17.562 
1491870029.122449, 0.877, 1.798, 2.607, 2.581, 72, 0.877, 1.798, 17.562 
1491870030.042520, 1.212, 1.850, 2.655, 2.665, 72, 1.212, 1.850, 17.562 
1491870030.962493, 1.128, 1.847, 2.643, 2.620, 72, 1.128, 1.847, 17.562 
