t,dr,cr,cr2a,cr2b,pv,fdr,fcr,T,Vpz1,Vpz2,Vpzbg,Vadcbg
1502799552.038952, 0.200, 0.754, 1.470, 1.473, 0, 0.200, 0.754, 0.000, 0.0580078125, 0.01611328125, 0.01611328125, 0.02578125 
1502799552.141647, 0.738, 0.754, 1.476, 1.470, 0, 0.738, 0.754, 0.000, 0.0580078125, 0.0, 0.0, 0.0 
1502799552.243836, 0.645, 0.754, 1.473, 1.473, 0, 0.645, 0.754, 0.000, 0.0580078125, 0.0, 0.0, 0.0 
1502799552.347707, 0.677, 0.754, 1.502, 1.492, 0, 0.677, 0.754, 0.000, 0.0580078125, 0.0064453125, 0.0064453125, 0.0064453125 
1502799552.450571, 0.625, 0.780, 1.511, 1.502, 0, 0.625, 0.780, 0.000, 0.064453125, 0.0064453125, 0.0064453125, 0.0064453125 
1502799552.552842, 0.110, 0.777, 1.508, 1.492, 0, 0.110, 0.777, 0.000, 0.05478515625, 0.00322265625, 0.00322265625, 0.0 
1502799552.654741, 0.148, 0.780, 1.508, 1.502, 0, 0.148, 0.780, 0.000, 0.05478515625, 0.00322265625, 0.00322265625, 0.00322265625 
1502799552.756504, 0.145, 0.780, 1.518, 1.492, 0, 0.145, 0.780, 0.000, 0.05478515625, 0.0, 0.0, 0.0 
1502799552.858223, 0.100, 0.799, 1.534, 1.534, 0, 0.100, 0.799, 0.000, 0.0580078125, 0.0, 0.0, 0.0 
1502799552.959994, 0.110, 0.780, 1.502, 1.476, 0, 0.110, 0.780, 0.000, 0.04833984375, 0.0, 0.0, 0.0 
1502799553.062311, 0.161, 0.786, 1.550, 1.534, 0, 0.161, 0.786, 0.000, 0.0515625, 0.00322265625, 0.00322265625, 0.0064453125 
1502799553.164261, 0.026, 0.790, 1.540, 1.511, 0, 0.026, 0.790, 0.000, 0.0451171875, 0.00322265625, 0.00322265625, 0.00322265625 
1502799553.266029, 0.029, 0.780, 1.518, 1.502, 0, 0.029, 0.780, 0.000, 0.02900390625, 0.00322265625, 0.0064453125, 0.0064453125 
1502799553.367757, 0.657, 0.780, 1.511, 1.502, 0, 0.657, 0.780, 0.000, 0.02900390625, 0.0064453125, 0.0064453125, 0.0064453125 
1502799553.469613, 0.648, 0.780, 1.511, 1.511, 0, 0.648, 0.780, 0.000, 0.0322265625, 0.01611328125, 0.0064453125, 0.0064453125 
1502799553.571343, 0.032, 0.786, 1.534, 1.534, 0, 0.032, 0.786, 0.000, 0.0322265625, 0.0064453125, 0.00322265625, 0.00322265625 
1502799553.673061, 0.693, 0.786, 1.550, 1.511, 0, 0.693, 0.786, 0.000, 0.02900390625, 0.012890625, 0.00322265625, 0.0064453125 
1502799553.774785, 0.016, 0.780, 1.518, 1.508, 0, 0.016, 0.780, 0.000, 0.02578125, 0.0064453125, 0.0, 0.0 
1502799553.876542, 0.648, 0.786, 1.540, 1.511, 0, 0.648, 0.786, 0.000, 0.02900390625, 0.00322265625, 0.0, 0.0 
1502799553.978229, 0.180, 0.780, 1.511, 1.502, 0, 0.180, 0.780, 0.000, 0.02900390625, 0.00322265625, 0.0, 0.0 
1502799554.079994, 0.016, 0.780, 1.547, 1.511, 0, 0.016, 0.780, 0.000, 0.02900390625, 0.00322265625, 0.0, 0.0 
1502799554.182543, 0.151, 0.786, 1.502, 1.502, 0, 0.151, 0.786, 0.000, 0.02578125, 0.0064453125, 0.0064453125, 0.0064453125 
1502799554.284710, 0.093, 0.777, 1.511, 1.492, 0, 0.093, 0.777, 0.000, 0.01611328125, 0.00322265625, 0.00322265625, 0.00322265625 
1502799554.386603, 0.055, 0.780, 1.534, 1.511, 0, 0.055, 0.780, 0.000, 0.02578125, 0.0064453125, 0.0064453125, 0.0064453125 
1502799554.488595, 0.622, 0.790, 1.508, 1.502, 0, 0.622, 0.790, 0.000, 0.012890625, 0.00322265625, 0.00322265625, 0.00322265625 
1502799554.590690, 0.045, 0.773, 1.502, 1.502, 0, 0.045, 0.773, 0.000, 0.0064453125, 0.01611328125, 0.00322265625, 0.00322265625 
1502799554.692508, 0.142, 0.780, 1.511, 1.502, 0, 0.142, 0.780, 0.000, 0.012890625, 0.00322265625, 0.0, 0.0 
1502799554.794304, 0.193, 0.790, 1.518, 1.511, 0, 0.193, 0.790, 0.000, 0.0, 0.0, 0.0, 0.0 
1502799554.896061, 0.100, 0.780, 1.502, 1.479, 0, 0.100, 0.780, 0.000, 0.00322265625, 0.0, 0.0, 0.0 
1502799554.997810, 0.058, 0.780, 1.518, 1.502, 0, 0.058, 0.780, 0.000, 0.0064453125, 0.0, 0.00322265625, 0.0 
1502799555.099654, 0.180, 0.780, 1.511, 1.502, 0, 0.180, 0.780, 0.000, 0.82177734375, 0.00322265625, 0.00322265625, 0.0064453125 
1502799555.201617, 0.786, 0.870, 0.838, 1.647, 118, 0.786, 0.870, 0.000, 0.0515625, 0.02578125, 0.01611328125, 0.01611328125 
