t,dr,cr,pv
1488984012,1.476,2.165625,48
1488984012,1.241,2.307421875,48
1488984012,1.521,2.339648438,48
1488984012,1.225,2.288085938,48
1488984013,1.228,2.4234375,48
1488984013,1.186,2.184960938,0
1488984013,0.993,2.188183594,0
1488984013,0.67,2.184960938,0
1488984013,0.683,2.184960938,0
1488984013,0.612,2.239746094,0
1488984013,0.403,2.26875,0
1488984013,0.822,2.313867188,0
1488984013,0.535,2.381542969,0
1488984013,0.551,2.371875,0
1488984014,0.503,2.26875,0
1488984014,0.951,2.271972656,0
1488984014,0.319,2.339648438,0
1488984014,0.554,2.368652344,0
1488984014,0.661,2.307421875,0
1488984014,0.161,2.278417969,0
1488984014,0.49,2.288085938,0
1488984014,0.854,2.355761719,0
1488984014,0.3,2.381542969,0
1488984014,0.412,2.288085938,0
1488984015,0.532,2.278417969,0
1488984015,0.103,2.365429688,0
1488984015,0.889,2.391210938,0
1488984015,0.325,2.291308594,0
1488984015,0.641,2.278417969,0
1488984015,0.67,2.368652344,0
1488984015,0.68,2.288085938,0
1488984015,0.409,2.271972656,0
1488984015,0.773,2.381542969,0
1488984015,0.593,2.29453125,0
1488984016,0.516,2.255859375,0
1488984016,0.464,2.371875,0
1488984016,0.696,2.291308594,0
1488984016,0.387,2.265527344,0
1488984016,0.622,2.355761719,0
1488984016,0.567,2.278417969,0
1488984016,0.035,2.288085938,0
1488984016,0.052,2.34609375,0
1488984016,0.032,2.307421875,0
1488984016,0.026,2.288085938,0
1488984017,0.032,2.26875,0
1488984017,0.032,2.288085938,0
1488984017,0.052,2.288085938,0
1488984017,0.719,2.371875,0
1488984017,0.583,2.307421875,0
1488984017,0.458,2.278417969,0
1488984017,0.329,2.375097656,0
1488984017,0.912,2.291308594,0
1488984017,0.419,2.26875,0
1488984017,0.438,2.375097656,0
1488984018,0.474,2.288085938,0
1488984018,0.393,2.426660156,8
1488984018,0.325,2.307421875,8
1488984018,0.857,2.288085938,8
1488984018,0.335,2.391210938,8
1488984018,0.609,2.34609375,8
1488984018,0.825,2.278417969,8
1488984018,0.516,2.278417969,8
1488984018,0.799,2.39765625,8
1488984018,0.748,2.39765625,8
1488984019,0.509,2.358984375,8
1488984019,0.709,2.278417969,8
1488984019,0.606,2.26875,8
1488984019,0.661,2.291308594,8
1488984019,0.954,2.39765625,8
1488984019,0.377,2.3203125,8
1488984019,0.583,2.265527344,8
1488984019,0.831,2.291308594,8
1488984019,0.506,2.39765625,8
1488984019,0.809,2.307421875,8
1488984020,0.693,2.26875,8
1488984020,0.454,2.288085938,8
1488984020,0.703,2.39765625,8
1488984020,0.448,2.34609375,8
1488984020,0.619,2.278417969,8
1488984020,0.748,2.278417969,8
1488984020,0.226,2.410546875,8
1488984020,0.59,2.381542969,8
1488984020,0.851,2.278417969,8
1488984020,0.448,2.26875,8
1488984021,0.902,2.381542969,8
1488984021,0.712,2.391210938,8
1488984021,0.39,2.323535156,8
1488984021,0.935,2.26875,8
1488984021,0.609,2.288085938,8
1488984021,0.686,2.39765625,8
1488984021,0.841,2.29453125,8
1488984021,0.387,2.271972656,8
1488984021,0.696,2.291308594,8
1488984021,0.699,2.371875,8
1488984022,0.342,2.34609375,8
1488984022,0.799,2.278417969,8
1488984022,0.393,2.307421875,8
1488984022,0.464,2.39765625,8
1488984022,0.912,2.278417969,8
1488984022,0.367,2.278417969,8
1488984022,0.677,2.410546875,8
1488984022,0.815,2.375097656,8
1488984022,0.342,2.278417969,8
1488984022,0.773,2.291308594,8
1488984023,0.767,2.381542969,8
1488984023,0.464,2.3203125,16
1488984023,1.041,2.39765625,16
1488984023,0.844,2.271972656,16
1488984023,0.512,2.26875,16
1488984023,0.674,2.371875,16
1488984023,0.938,2.394433594,16
1488984023,0.88,2.413769531,16
1488984023,0.67,2.291308594,16
1488984023,0.599,2.278417969,16
1488984024,0.931,2.271972656,16
1488984024,0.912,2.262304688,16
1488984024,0.703,2.3203125,16
1488984024,0.735,2.34609375,16
1488984024,0.67,2.394433594,16
1488984024,0.893,2.391210938,16
1488984024,0.806,2.291308594,16
1488984024,0.703,2.278417969,16
1488984024,0.677,2.278417969,16
1488984024,0.712,2.391210938,16
1488984025,0.98,2.39765625,16
1488984025,0.793,2.288085938,16
1488984025,0.68,2.278417969,16
1488984025,0.651,2.271972656,16
1488984025,0.912,2.26875,16
1488984025,0.877,2.307421875,16
1488984025,0.773,2.355761719,16
1488984025,0.686,2.381542969,16
1488984025,0.696,2.391210938,16
1488984025,0.912,2.375097656,16
1488984026,0.786,2.381542969,16
1488984026,0.696,2.362207031,16
1488984026,0.635,2.410546875,16
1488984026,0.835,2.407324219,16
1488984026,1.005,2.39765625,16
1488984026,0.799,2.410546875,16
1488984026,0.709,2.410546875,16
1488984026,0.616,2.410546875,16
1488984026,0.983,2.410546875,16
1488984026,0.896,2.410546875,16
1488984027,0.764,2.4234375,16
1488984027,0.715,2.355761719,16
1488984027,0.696,2.310644531,16
