Time/s, Dynamo Reading/V, HES Reading/V, Potentiometer Value/7-bitFiltered Dynamo Reading/V, 14:49 15-03-2017
1489589352.149487, 0.003, 0.709, 0, -145.92327168 
1489589352.249861, 0.003, 0.709, 0, -145.92327168 
1489589352.350166, 0.003, 0.709, 0, -145.92327168 
1489589352.450441, 0.003, 0.709, 0, -145.92327168 
1489589352.550717, 0.003, 0.709, 0, -145.92327168 
1489589352.651010, 0.003, 0.709, 0, -145.92327168 
1489589352.751286, 0.003, 0.709, 0, -145.92327168 
1489589352.851560, 0.003, 0.709, 0, -145.92327168 
1489589352.951835, 0.003, 0.709, 0, -145.92327168 
1489589353.052109, 0.003, 0.709, 0, -145.92327168 
1489589353.152407, 0.003, 0.709, 0, -145.92327168 
1489589353.252679, 0.003, 0.709, 0, -145.92327168 
1489589353.352945, 0.003, 0.709, 0, -145.92327168 
1489589353.453281, 0.003, 0.709, 0, -145.92327168 
1489589353.553562, 0.003, 0.709, 0, -145.92327168 
1489589353.653836, 0.003, 0.709, 0, -145.92327168 
1489589353.754109, 0.003, 0.709, 0, -145.92327168 
1489589353.854381, 0.003, 0.709, 0, -145.92327168 
1489589353.954657, 0.003, 0.709, 0, -145.92327168 
1489589354.054930, 0.003, 0.709, 0, -145.92327168 
1489589354.155205, 0.003, 0.709, 0, -145.92327168 
1489589354.255478, 0.003, 0.709, 0, -145.92327168 
1489589354.355748, 0.003, 0.709, 0, -145.92327168 
1489589354.456034, 0.006, 0.696, 0, -144.899543359 
1489589354.556503, 0.006, 0.696, 0, -144.899543359 
1489589354.656941, 0.006, 0.696, 0, -144.899543359 
1489589354.757379, 0.006, 0.696, 0, -144.899543359 
1489589354.857811, 0.006, 0.696, 0, -144.899543359 
1489589354.958247, 0.006, 0.696, 0, -144.899543359 
1489589355.058677, 0.006, 0.696, 0, -144.899543359 
1489589355.159112, 0.006, 0.696, 0, -144.899543359 
1489589355.259539, 0.006, 0.696, 32, -144.899543359 
1489589355.360047, 0.006, 0.696, 32, -144.899543359 
1489589355.460488, 0.006, 0.696, 32, -144.899543359 
1489589355.560925, 0.006, 0.696, 32, -144.899543359 
1489589355.661360, 0.006, 0.696, 32, -144.899543359 
1489589355.761793, 0.006, 0.696, 32, -144.899543359 
1489589355.862226, 0.006, 0.696, 32, -144.899543359 
1489589355.962726, 0.006, 0.696, 32, -144.899543359 
1489589356.063161, 0.006, 0.696, 32, -144.899543359 
1489589356.163592, 0.006, 0.696, 32, -144.899543359 
1489589356.264026, 0.006, 0.696, 32, -144.899543359 
1489589356.364470, 0.006, 0.696, 32, -144.899543359 
1489589356.464903, 0.006, 0.696, 32, -144.899543359 
1489589356.565338, 0.006, 0.696, 32, -144.899543359 
1489589356.665769, 0.006, 0.696, 32, -144.899543359 
1489589356.766201, 0.006, 0.696, 32, -144.899543359 
1489589356.866633, 0.006, 0.696, 32, -144.899543359 
1489589356.967070, 0.006, 0.703, 32, -144.899543359 
1489589357.067504, 0.006, 0.696, 32, -144.899543359 
1489589357.167940, 0.006, 0.696, 32, -144.899543359 
1489589357.268369, 0.006, 0.696, 32, -144.899543359 
1489589357.368804, 0.006, 0.696, 32, -144.899543359 
1489589357.469272, 0.006, 0.696, 32, -144.899543359 
1489589357.569719, 0.006, 0.696, 32, -144.899543359 
1489589357.670154, 0.006, 0.696, 32, -144.899543359 
1489589357.770585, 0.006, 0.696, 32, -144.899543359 
1489589357.871016, 0.006, 0.696, 32, -144.899543359 
1489589357.971450, 0.006, 0.696, 32, -144.899543359 
1489589358.071883, 0.110, 2.630, 32, -112.140237109 
1489589358.172316, 0.841, 2.668, 32, 120.246091602 
1489589358.272759, 1.118, 2.433, 32, 208.286727148 
1489589358.373196, 1.147, 2.552, 32, 217.500282031 
1489589358.473631, 0.912, 2.411, 32, 142.768114648 
1489589358.574065, 1.134, 2.401, 32, 213.40536875 
1489589358.674496, 1.163, 2.504, 32, 222.618923633 
1489589358.774929, 1.025, 2.514, 32, 178.598605859 
1489589358.875364, 1.025, 2.443, 32, 178.598605859 
1489589358.975797, 1.118, 2.459, 32, 208.286727148 
1489589359.076230, 1.196, 2.514, 32, 232.856206836 
1489589359.176663, 1.041, 2.562, 32, 183.717247461 
1489589359.277110, 1.241, 2.411, 32, 247.18840332 
