Time/s, Dynamo Reading/V, HES Reading/V, Potentiometer Value/7-bitFiltered Dynamo Reading/V, 14:42 15-03-2017
1489588958.951479, 0.003, 0.709, 0, -145.92327168 
1489588959.051827, 0.003, 0.709, 0, -145.92327168 
1489588959.152126, 0.003, 0.709, 0, -145.92327168 
1489588959.252428, 0.003, 0.709, 0, -145.92327168 
1489588959.352684, 0.003, 0.709, 0, -145.92327168 
1489588959.452938, 0.003, 0.709, 0, -145.92327168 
1489588959.553196, 0.003, 0.709, 0, -145.92327168 
1489588959.653454, 0.003, 0.709, 0, -145.92327168 
1489588959.753710, 0.003, 0.709, 0, -145.92327168 
1489588959.853967, 0.003, 0.709, 0, -145.92327168 
1489588959.954224, 0.003, 0.709, 0, -145.92327168 
1489588960.054479, 0.003, 0.709, 0, -145.92327168 
1489588960.154728, 0.003, 0.709, 0, -145.92327168 
1489588960.255036, 0.003, 0.709, 0, -145.92327168 
1489588960.355301, 0.003, 0.709, 0, -145.92327168 
1489588960.455559, 0.003, 0.709, 0, -145.92327168 
1489588960.555816, 0.003, 0.709, 0, -145.92327168 
1489588960.656075, 0.003, 0.709, 0, -145.92327168 
1489588960.756331, 0.003, 0.709, 0, -145.92327168 
1489588960.856590, 0.003, 0.709, 0, -145.92327168 
1489588960.956847, 0.003, 0.709, 0, -145.92327168 
1489588961.057103, 0.003, 0.709, 0, -145.92327168 
1489588961.157360, 0.003, 0.709, 0, -145.92327168 
1489588961.257615, 0.003, 0.709, 0, -145.92327168 
1489588961.357862, 0.003, 0.709, 0, -145.92327168 
1489588961.458131, 0.003, 0.709, 0, -145.92327168 
1489588961.558388, 0.003, 0.709, 0, -145.92327168 
1489588961.658646, 0.003, 0.709, 0, -145.92327168 
1489588961.758902, 0.003, 0.709, 0, -145.92327168 
1489588961.859158, 0.003, 0.709, 0, -145.92327168 
1489588961.959415, 0.003, 0.709, 0, -145.92327168 
1489588962.059671, 0.003, 0.709, 0, -145.92327168 
1489588962.159928, 0.003, 0.709, 0, -145.92327168 
1489588962.260185, 0.003, 0.709, 0, -145.92327168 
1489588962.360437, 0.003, 0.709, 0, -145.92327168 
1489588962.460684, 0.003, 0.709, 0, -145.92327168 
1489588962.560942, 0.003, 0.709, 0, -145.92327168 
1489588962.661199, 0.003, 0.709, 0, -145.92327168 
1489588962.761455, 0.003, 0.709, 0, -145.92327168 
1489588962.861719, 0.003, 0.709, 0, -145.92327168 
1489588962.961976, 0.003, 0.709, 0, -145.92327168 
1489588963.062233, 0.003, 0.709, 0, -145.92327168 
1489588963.162507, 0.003, 0.709, 0, -145.92327168 
1489588963.262782, 0.003, 0.709, 0, -145.92327168 
1489588963.363050, 0.003, 0.709, 0, -145.92327168 
1489588963.463352, 0.003, 0.709, 0, -145.92327168 
1489588963.563637, 0.003, 0.709, 0, -145.92327168 
1489588963.663915, 0.003, 0.709, 0, -145.92327168 
1489588963.764190, 0.003, 0.709, 0, -145.92327168 
1489588963.864460, 0.003, 0.709, 0, -145.92327168 
1489588963.964851, 0.003, 0.709, 0, -145.92327168 
1489588964.065148, 0.003, 0.709, 0, -145.92327168 
1489588964.165425, 0.003, 0.709, 0, -145.92327168 
1489588964.265701, 0.003, 0.709, 0, -145.92327168 
1489588964.365974, 0.003, 0.709, 0, -145.92327168 
1489588964.466260, 0.006, 0.696, 0, -144.899543359 
1489588964.566699, 0.006, 0.696, 0, -144.899543359 
1489588964.667131, 0.006, 0.696, 0, -144.899543359 
1489588964.767566, 0.006, 0.696, 0, -144.899543359 
1489588964.867999, 0.006, 0.696, 0, -144.899543359 
1489588964.968432, 0.006, 0.696, 0, -144.899543359 
1489588965.068862, 0.006, 0.696, 0, -144.899543359 
1489588965.169293, 0.006, 0.696, 0, -144.899543359 
1489588965.269723, 0.006, 0.696, 0, -144.899543359 
1489588965.370155, 0.006, 0.696, 0, -144.899543359 
1489588965.470611, 0.006, 0.696, 0, -144.899543359 
1489588965.571046, 0.006, 0.696, 0, -144.899543359 
1489588965.671478, 0.006, 0.696, 0, -144.899543359 
1489588965.771911, 0.006, 0.696, 0, -144.899543359 
1489588965.872344, 0.006, 0.696, 0, -144.899543359 
1489588965.972779, 0.006, 0.696, 0, -144.899543359 
1489588966.073215, 0.006, 0.696, 0, -144.899543359 
1489588966.173649, 0.006, 0.696, 0, -144.899543359 
1489588966.274082, 0.006, 0.696, 0, -144.899543359 
1489588966.374517, 0.006, 0.696, 0, -144.899543359 
1489588966.474948, 0.006, 0.696, 0, -144.899543359 
1489588966.575382, 0.006, 0.696, 0, -144.899543359 
1489588966.675840, 0.006, 0.696, 0, -144.899543359 
1489588966.776423, 0.006, 0.696, 0, -144.899543359 
1489588966.876860, 0.006, 0.696, 0, -144.899543359 
1489588966.977297, 0.006, 0.696, 0, -144.899543359 
1489588967.077730, 0.006, 0.696, 0, -144.899543359 
1489588967.178166, 0.006, 0.696, 0, -144.899543359 
1489588967.278596, 0.006, 0.696, 0, -144.899543359 
1489588967.379038, 0.006, 0.696, 0, -144.899543359 
1489588967.479472, 0.006, 0.696, 0, -144.899543359 
1489588967.579906, 0.006, 0.696, 0, -144.899543359 
1489588967.680337, 0.006, 0.696, 0, -144.899543359 
1489588967.780769, 0.006, 0.696, 0, -144.899543359 
1489588967.881202, 0.006, 0.696, 0, -144.899543359 
1489588967.981633, 0.006, 0.696, 0, -144.899543359 
1489588968.082065, 0.006, 0.696, 0, -144.899543359 
1489588968.182568, 0.006, 0.696, 0, -144.899543359 
1489588968.283000, 0.006, 0.696, 0, -144.899543359 
1489588968.383450, 0.006, 0.696, 0, -144.899543359 
1489588968.483882, 0.006, 0.696, 0, -144.899543359 
1489588968.584321, 0.006, 0.696, 0, -144.899543359 
1489588968.684753, 0.006, 0.696, 0, -144.899543359 
1489588968.785189, 0.006, 0.696, 0, -144.899543359 
1489588968.885613, 0.006, 0.696, 0, -144.899543359 
1489588968.986052, 0.006, 0.696, 0, -144.899543359 
1489588969.086482, 0.006, 0.696, 0, -144.899543359 
1489588969.186913, 0.006, 0.696, 0, -144.899543359 
1489588969.287345, 0.006, 0.696, 0, -144.899543359 
1489588969.387777, 0.006, 0.696, 0, -144.899543359 
1489588969.488211, 0.006, 0.696, 0, -144.899543359 
1489588969.588646, 0.006, 0.696, 0, -144.899543359 
1489588969.689078, 0.006, 0.696, 0, -144.899543359 
1489588969.789510, 0.006, 0.696, 0, -144.899543359 
1489588969.889941, 0.006, 0.696, 0, -144.899543359 
1489588969.990373, 0.006, 0.696, 0, -144.899543359 
1489588970.090804, 0.006, 0.696, 0, -144.899543359 
1489588970.191236, 0.006, 0.696, 0, -144.899543359 
1489588970.291668, 0.006, 0.696, 0, -144.899543359 
1489588970.392130, 0.006, 0.696, 0, -144.899543359 
1489588970.492647, 0.006, 0.696, 0, -144.899543359 
1489588970.593079, 0.006, 0.696, 0, -144.899543359 
1489588970.693512, 0.006, 0.696, 0, -144.899543359 
1489588970.793949, 0.006, 0.696, 0, -144.899543359 
1489588970.894382, 0.006, 0.696, 0, -144.899543359 
1489588970.994817, 0.006, 0.696, 0, -144.899543359 
1489588971.095251, 0.006, 0.696, 0, -144.899543359 
1489588971.195688, 0.006, 0.696, 0, -144.899543359 
1489588971.296118, 0.006, 0.696, 0, -144.899543359 
1489588971.396550, 0.006, 0.696, 0, -144.899543359 
1489588971.496984, 0.006, 0.696, 0, -144.899543359 
1489588971.597418, 0.006, 0.696, 0, -144.899543359 
1489588971.697849, 0.006, 0.696, 0, -144.899543359 
1489588971.798283, 0.006, 0.696, 0, -144.899543359 
1489588971.898714, 0.006, 0.696, 0, -144.899543359 
1489588971.999146, 0.006, 0.703, 0, -144.899543359 
1489588972.099579, 0.006, 0.696, 0, -144.899543359 
1489588972.200013, 0.006, 0.696, 0, -144.899543359 
1489588972.300444, 0.006, 0.696, 0, -144.899543359 
1489588972.400910, 0.006, 0.696, 0, -144.899543359 
1489588972.501542, 0.006, 0.696, 0, -144.899543359 
1489588972.602011, 0.006, 0.696, 0, -144.899543359 
1489588972.702538, 0.006, 0.696, 0, -144.899543359 
