Time/s, Dynamo Reading/V, HES Reading/V, Potentiometer Value/7-bitFiltered Dynamo Reading/V, 14:22 15-03-2017
1489587778.623094, 0.003, 0.709, 0, -145.92327168 
1489587778.723491, 0.003, 0.709, 0, -145.92327168 
1489587778.823791, 0.003, 0.709, 0, -145.92327168 
1489587778.924051, 0.003, 0.709, 0, -145.92327168 
1489587779.024309, 0.003, 0.709, 0, -145.92327168 
1489587779.124565, 0.003, 0.709, 0, -145.92327168 
1489587779.224814, 0.003, 0.709, 0, -145.92327168 
1489587779.325066, 0.003, 0.709, 0, -145.92327168 
1489587779.425325, 0.003, 0.709, 0, -145.92327168 
1489587779.525582, 0.003, 0.709, 0, -145.92327168 
1489587779.625840, 0.003, 0.709, 0, -145.92327168 
1489587779.726096, 0.003, 0.709, 0, -145.92327168 
1489587779.826354, 0.003, 0.709, 0, -145.92327168 
1489587779.926610, 0.003, 0.709, 0, -145.92327168 
1489587780.026867, 0.003, 0.709, 0, -145.92327168 
1489587780.127123, 0.003, 0.709, 0, -145.92327168 
1489587780.227371, 0.003, 0.709, 0, -145.92327168 
1489587780.327620, 0.003, 0.709, 0, -145.92327168 
1489587780.427880, 0.003, 0.709, 0, -145.92327168 
1489587780.528135, 0.003, 0.709, 0, -145.92327168 
1489587780.628393, 0.003, 0.709, 0, -145.92327168 
1489587780.728649, 0.003, 0.709, 0, -145.92327168 
1489587780.828906, 0.003, 0.709, 0, -145.92327168 
1489587780.929163, 0.003, 0.709, 0, -145.92327168 
1489587781.029421, 0.003, 0.709, 0, -145.92327168 
1489587781.129677, 0.003, 0.709, 0, -145.92327168 
1489587781.229929, 0.003, 0.709, 0, -145.92327168 
1489587781.330177, 0.003, 0.709, 0, -145.92327168 
1489587781.430436, 0.003, 0.709, 0, -145.92327168 
1489587781.530696, 0.003, 0.709, 0, -145.92327168 
1489587781.630953, 0.003, 0.709, 0, -145.92327168 
1489587781.731218, 0.003, 0.709, 0, -145.92327168 
1489587781.831474, 0.003, 0.709, 0, -145.92327168 
