t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,T,Vpz,Vms,gamma_dot,tau,mu_en_bal,mu_current_relation
1505812469.41,0.0,0.0,79.894,79.472,79.722,79.709,2.565,2.526,0.0,0.11935483871,2.581,276.146228095,-0.00988315389533,9.07210927393e-06,-3.57895668665e-05
1505812469.42,0.0,0.0,79.894,79.472,79.722,79.709,2.558,2.494,0.0,0.0645161290323,2.594,275.98574573,-0.00988827345741,9.14877927145e-06,-3.58289281617e-05
1505812469.44,0.0,0.0,79.894,79.472,79.722,79.709,2.571,2.506,0.0,0.0,2.542,275.823491697,-0.00983642058969,8.99586633642e-06,-3.56620117061e-05
1505812469.45,0.0,0.0,79.894,79.472,79.722,79.709,2.574,2.555,0.0,0.125806451613,2.581,275.659506228,-0.00986436985127,9.16495627851e-06,-3.57846169945e-05
1505812469.46,0.0,0.0,79.894,79.472,79.722,79.709,2.535,2.532,0.0,0.0,2.555,275.493832128,-0.00983535454971,9.10349609776e-06,-3.57008157814e-05
1505812469.48,0.0,0.0,79.894,79.472,79.722,79.709,2.561,2.513,0.0,0.0129032258065,2.529,275.326514834,-0.00980636650718,9.04149609899e-06,-3.56172252901e-05
1505812469.49,0.0,0.0,79.894,79.472,79.722,79.709,2.6,2.535,0.0,0.0290322580645,2.529,275.157602485,-0.00980020494809,9.07220765773e-06,-3.56166969751e-05
1505812469.51,0.0,0.0,79.894,79.472,79.722,79.709,2.577,2.513,0.0,0.0967741935484,2.529,274.987145987,-0.00979407891052,9.10297693096e-06,-3.56164971835e-05
1505812469.52,0.0,0.0,79.894,79.472,79.722,79.709,2.61,2.487,0.0,0.0,2.542,274.81519908,-0.009799390034,9.18073938358e-06,-3.5658107946e-05
1505812469.53,0.0,0.0,79.894,79.472,79.722,79.709,2.577,2.523,0.0,0.125806451613,2.542,274.641818409,-0.00979334720739,9.21173573384e-06,-3.56586162447e-05
1505812469.54,0.0,0.0,77.138,79.472,79.722,79.709,2.587,2.523,0.0,0.0,2.529,274.467063528,-0.00977595440014,9.19547455498e-06,-3.56179509281e-05
1505812469.55,0.0,0.0,77.138,79.472,76.872,79.709,2.574,2.535,0.0,0.0322580645161,2.529,274.290996666,-0.00977001063503,9.2263175524e-06,-3.56191444626e-05
1505812469.57,0.0,0.0,77.138,76.841,76.872,79.709,2.581,2.529,0.0,0.0838709677419,2.568,274.113682116,-0.00979831481896,9.39989466965e-06,-3.5745442341e-05
1505812469.58,0.0,0.0,77.138,76.841,76.872,76.427,2.606,2.552,0.0,0.0,2.516,273.935185389,-0.00974689498816,9.24018077475e-06,-3.55810261259e-05
1505812469.59,0.0,0.0,77.138,76.841,76.872,76.427,2.568,2.506,0.0,0.129032258065,2.503,273.755572325,-0.00972973006464,9.22285469786e-06,-3.55416694608e-05
1505812469.6,0.0,0.0,77.138,76.841,76.872,76.427,2.561,2.5,0.0,0.0,2.606,273.574908437,-0.00981433178404,9.63398202293e-06,-3.58743857034e-05
1505812469.61,0.0,0.0,77.138,76.841,76.872,76.427,2.565,2.529,0.0,0.0677419354839,2.555,273.393258634,-0.00976398479382,9.47634448998e-06,-3.57140656745e-05
1505812469.63,0.0,0.0,77.138,76.841,76.872,76.427,2.603,2.581,0.0,0.0645161290323,2.503,273.210687224,-0.00971283286643,9.31365810331e-06,-3.55507061789e-05
1505812469.64,0.0,0.0,77.138,76.841,76.872,76.427,2.581,2.506,0.0,0.0,2.529,273.027257981,-0.00973014126602,9.44078626137e-06,-3.56379847857e-05
1505812469.65,0.0,0.0,77.138,76.841,76.872,76.427,2.619,2.5,0.0,0.122580645161,2.542,272.843034223,-0.00973612994674,9.51972962455e-06,-3.5683996751e-05
1505812469.66,0.0,0.0,77.138,76.841,76.872,76.427,2.587,2.516,0.0,0.0,2.555,272.658078881,-0.00974219905683,9.59884618114e-06,-3.57304617447e-05
1505812469.67,0.0,0.0,77.138,76.841,76.872,76.427,2.565,2.51,0.0,0.0903225806452,2.503,272.472454574,-0.00969136328127,9.43315295199e-06,-3.55682312784e-05
1505812469.68,0.0,0.0,77.138,76.841,76.872,76.427,2.565,2.558,0.0,0.0451612903226,2.542,272.286223685,-0.00972039576433,9.61009819009e-06,-3.56991831345e-05
1505812469.7,0.0,0.0,77.138,76.841,76.872,76.427,2.619,2.532,0.0,0.0,2.555,272.099448432,-0.00972672090813,9.68918635943e-06,-3.57469335722e-05
1505812469.71,0.0,0.0,77.138,76.841,76.872,76.427,2.561,2.503,0.0,0.109677419355,2.529,271.912190943,-0.00969894340777,9.62003781157e-06,-3.56693952343e-05
1505812469.72,0.0,0.0,77.138,76.841,76.872,76.427,2.597,2.5,0.0,0.0,2.542,271.724513332,-0.00970545068322,9.69888996266e-06,-3.57179798179e-05
1505812469.73,0.0,0.0,77.138,76.841,76.872,76.427,2.565,2.506,0.0,0.112903225806,2.516,271.536477773,-0.00967785947676,9.62857947753e-06,-3.56411026471e-05
