t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,T,Vpz,Vms,gamma_dot,tau,mu_en_bal,mu_current_relation
1505812190.78,0.0,0.0,89.785,90.091,89.879,89.824,2.59,2.552,0.0,0.11935483871,2.671,317.699413424,-0.00845521855342,1.08920184747e-05,-2.66138941281e-05
1505812190.79,0.0,0.0,89.785,90.091,89.879,89.824,2.558,2.516,0.0,0.0,2.632,317.503507814,-0.00845025808962,1.06735199327e-05,-2.66146920637e-05
1505812190.8,0.0,0.0,89.785,90.091,89.879,89.824,2.561,2.494,0.0,0.11935483871,2.594,317.306188234,-0.0084461734747,1.04607588065e-05,-2.66183698519e-05
1505812190.81,0.0,0.0,89.785,90.091,89.879,89.824,2.548,2.5,0.0,0.00322580645161,2.555,317.107510403,-0.00844119497277,1.02456836757e-05,-2.66193473691e-05
1505812190.83,0.0,0.0,89.785,90.091,89.879,89.824,2.568,2.548,0.0,0.00645161290323,2.581,316.907530466,-0.00849317174423,1.02915655671e-05,-2.68001575467e-05
1505812190.84,0.0,0.0,87.423,90.091,89.879,89.824,2.632,2.535,0.0,0.112903225806,2.632,316.706305018,-0.00856701980767,1.0435432598e-05,-2.70503607662e-05
1505812190.85,0.0,0.0,87.423,87.615,87.592,89.824,2.558,2.468,0.0,0.0,2.645,316.503890873,-0.00860749073529,1.04272611188e-05,-2.71955289762e-05
1505812190.86,0.0,0.0,87.423,87.615,87.592,87.846,2.571,2.519,0.0,0.103225806452,2.555,316.300344362,-0.00855758302785,1.00148738394e-05,-2.7055244107e-05
1505812190.88,0.0,0.0,87.423,87.615,87.592,87.846,2.619,2.519,0.0,0.0322580645161,2.619,316.095720407,-0.00864260450814,1.02068375394e-05,-2.73417321089e-05
1505812190.89,0.0,0.0,87.423,87.615,87.592,87.846,2.574,2.51,0.0,0.0,2.606,315.890071858,-0.0086600167907,1.00977231205e-05,-2.74146532677e-05
1505812190.9,0.0,0.0,87.423,87.615,87.592,87.846,2.61,2.548,0.0,0.103225806452,2.594,315.683449304,-0.00867819303113,9.99322531935e-06,-2.74901742561e-05
1505812190.91,0.0,0.0,87.423,87.615,87.592,87.846,2.606,2.548,0.0,0.0,2.632,315.475901104,-0.00874008125081,1.00809786499e-05,-2.77044339052e-05
1505812190.92,0.0,0.0,87.423,87.615,87.592,87.846,2.574,2.526,0.0,0.122580645161,2.606,315.267473472,-0.00874572165585,9.92356977392e-06,-2.7740640541e-05
1505812190.93,0.0,0.0,87.423,87.615,87.592,87.846,2.555,2.529,0.0,0.0,2.555,315.058210563,-0.00872929495927,9.67292755165e-06,-2.7706927376e-05
1505812190.95,0.0,0.0,87.423,87.615,87.592,87.846,2.558,2.542,0.0,0.0548387096774,2.555,314.84815455,-0.0087574213194,9.61677551165e-06,-2.78147455935e-05
1505812190.96,0.0,0.0,87.423,87.615,87.592,87.846,2.565,2.506,0.0,0.0677419354839,2.594,314.637345713,-0.00881956863698,9.70687267866e-06,-2.80309021073e-05
1505812190.97,0.0,0.0,87.423,87.615,87.592,87.846,2.561,2.484,0.0,0.0,2.555,314.425822519,-0.00881314816723,9.50542401319e-06,-2.80293396281e-05
1505812190.98,0.0,0.0,87.423,87.615,87.592,87.846,2.574,2.581,0.0,0.122580645161,2.645,314.21362171,-0.00891963399851,9.78315879036e-06,-2.83871652348e-05
1505812190.99,0.0,0.0,87.423,87.615,87.592,87.846,2.568,2.532,0.0,0.0,2.555,314.000778384,-0.00886810537752,9.39550054917e-06,-2.82423038031e-05
1505812191.0,0.0,0.0,87.423,87.615,87.592,87.846,2.558,2.542,0.0,0.103225806452,2.581,313.787326079,-0.0089180666298,9.43618665474e-06,-2.84207356022e-05
1505812191.02,0.0,0.0,86.3,87.615,86.618,87.846,2.539,2.494,0.0,0.0225806451613,2.594,313.573296816,-0.00895640988019,9.42894412096e-06,-2.85624125878e-05
1505812191.03,0.0,0.0,86.3,86.259,86.618,87.846,2.565,2.513,0.0,0.0,2.581,313.358720966,-0.00897172903217,9.32764224111e-06,-2.86308579653e-05
1505812191.04,0.0,0.0,86.3,86.259,86.618,86.255,2.584,2.532,0.0,0.103225806452,2.606,313.143626902,-0.00902012726165,9.36389187407e-06,-2.88050801189e-05
1505812191.05,0.0,0.0,86.3,86.259,86.618,86.255,2.574,2.497,0.0,0.0,2.568,312.928040582,-0.00901304700701,9.17452295373e-06,-2.88022990534e-05
1505812191.06,0.0,0.0,86.3,86.259,86.618,86.255,2.568,2.503,0.0,0.129032258065,2.516,312.711985253,-0.00899344142713,8.93747933174e-06,-2.87595034768e-05
1505812191.07,0.0,0.0,86.3,86.259,86.618,86.255,2.6,2.542,0.0,0.0,2.645,312.495481374,-0.00913226745158,9.34235835017e-06,-2.92236784079e-05
1505812191.09,0.0,0.0,86.3,86.259,86.618,86.255,2.568,2.529,0.0,0.058064516129,2.619,312.278546659,-0.00913493596795,9.19823074435e-06,-2.92525249194e-05
1505812191.1,0.0,0.0,86.3,86.259,86.618,86.255,2.539,2.458,0.0,0.0612903225806,2.49,312.061196171,-0.00904703138541,8.69598265839e-06,-2.89912090847e-05
1505812191.11,0.0,0.0,86.3,86.259,86.618,86.255,2.587,2.552,0.0,0.0,2.594,311.8434424,-0.00916313134476,9.00851863305e-06,-2.93837551119e-05
1505812191.12,0.0,0.0,86.3,86.259,86.618,86.255,2.587,2.529,0.0,0.11935483871,2.606,311.62529536,-0.00919829206606,8.99987475973e-06,-2.95171547465e-05
1505812191.13,0.0,0.0,86.3,86.259,86.618,86.255,2.529,2.51,0.0,0.0,2.555,311.406762666,-0.00917793439009,8.7749999063e-06,-2.94724954317e-05
1505812191.14,0.0,0.0,86.3,86.259,86.618,86.255,2.635,2.516,0.0,0.109677419355,2.529,311.187849627,-0.00917920678516,8.63804937358e-06,-2.94973174439e-05
1505812191.16,0.0,0.0,86.3,86.259,86.618,86.255,2.597,2.503,0.0,0.0225806451613,2.632,310.968559333,-0.0092932857349,8.94089105875e-06,-2.98849689333e-05
