t,dr,fdr,cra,crb,pv,T,Vpz
1504003640.657747, 0.003, 0.003, 1.028, 1.473, 64, 17.250, 0.75087890625 
1504003641.584576, 0.003, 0.003, 1.473, 1.476, 64, 17.250, 0.7541015625 
1504003642.504580, 0.003, 0.003, 1.470, 1.473, 64, 17.250, 0.75087890625 
1504003643.424869, 0.003, 0.003, 1.470, 1.492, 64, 17.250, 0.74765625 
1504003644.344847, 0.003, 0.003, 1.457, 1.473, 64, 17.250, 0.734765625 
1504003645.264768, 0.003, 0.003, 1.457, 1.492, 64, 17.250, 0.7283203125 
1504003646.184827, 0.003, 0.003, 1.473, 1.473, 64, 17.250, 0.708984375 
1504003647.104885, 0.003, 0.003, 1.470, 1.473, 64, 17.250, 0.68642578125 
1504003648.024779, 0.003, 0.003, 1.470, 1.492, 64, 17.250, 0.67353515625 
1504003648.944744, 0.003, 0.003, 1.470, 1.473, 64, 17.250, 0.64775390625 
1504003649.864730, 0.003, 0.003, 1.473, 1.492, 64, 17.250, 0.20302734375 
1504003650.784786, 0.003, 0.003, 1.457, 1.489, 64, 17.250, 0.193359375 
1504003651.704848, 0.003, 0.003, 1.450, 1.473, 64, 17.250, 0.18369140625 
1504003652.624784, 0.003, 0.003, 1.470, 1.476, 64, 17.250, 0.18046875 
1504003653.544758, 0.003, 0.003, 1.450, 1.492, 64, 17.250, 0.17080078125 
1504003654.464755, 0.003, 0.003, 1.473, 1.476, 64, 17.250, 0.17080078125 
1504003655.384867, 0.003, 0.003, 1.473, 1.473, 64, 17.250, 0.17080078125 
1504003656.304834, 0.003, 0.003, 1.457, 1.473, 64, 17.250, 0.17080078125 
1504003657.224771, 0.003, 0.003, 1.473, 1.476, 64, 17.250, 0.18046875 
1504003658.144730, 0.003, 0.003, 1.470, 1.476, 64, 17.250, 0.193359375 
1504003659.064722, 0.003, 0.003, 1.028, 1.489, 64, 17.250, 0.20302734375 
1504003659.984733, 0.003, 0.003, 1.470, 1.476, 64, 17.250, 0.20302734375 
1504003660.904906, 0.003, 0.003, 1.473, 1.492, 64, 17.250, 0.20302734375 
1504003661.824761, 0.003, 0.003, 1.473, 1.473, 64, 17.250, 0.20302734375 
1504003662.744778, 0.003, 0.003, 1.473, 1.470, 64, 17.250, 0.20302734375 
1504003663.664752, 0.003, 0.003, 1.473, 1.473, 64, 17.250, 0.20302734375 
1504003664.584747, 0.003, 0.003, 1.476, 1.473, 64, 17.250, 0.1998046875 
1504003665.504837, 0.003, 0.003, 1.473, 1.473, 64, 17.250, 0.193359375 
1504003666.424852, 0.003, 0.003, 1.457, 1.492, 64, 17.250, 0.18369140625 
1504003667.344795, 0.003, 0.003, 1.470, 1.473, 64, 17.250, 0.18369140625 
1504003668.264745, 0.003, 0.003, 1.470, 1.473, 64, 17.250, 0.18369140625 
1504003669.184745, 0.003, 0.003, 1.457, 1.492, 64, 17.250, 0.193359375 
1504003670.104808, 0.003, 0.003, 1.457, 1.492, 64, 17.250, 0.193359375 
1504003671.024740, 0.003, 0.003, 1.470, 1.473, 64, 17.250, 0.193359375 
1504003671.944726, 0.003, 0.003, 1.457, 1.476, 64, 17.250, 0.1998046875 
1504003672.864750, 0.003, 0.003, 1.470, 1.476, 64, 17.250, 0.1998046875 
1504003673.784754, 0.003, 0.003, 1.457, 1.476, 64, 17.250, 0.20302734375 
1504003674.704794, 0.003, 0.003, 1.473, 1.492, 64, 17.250, 0.20302734375 
1504003675.624775, 0.003, 0.003, 1.450, 1.492, 64, 17.250, 0.631640625 
1504003676.544800, 0.003, 0.003, 1.470, 1.473, 64, 17.250, 0.64453125 
1504003677.464748, 0.003, 0.003, 1.457, 1.476, 64, 17.250, 0.64453125 
1504003678.384741, 0.003, 0.003, 1.470, 1.476, 64, 17.250, 0.64775390625 
1504003679.304803, 0.003, 0.003, 1.470, 1.479, 64, 17.250, 0.64775390625 
1504003680.244763, 0.003, 0.003, 1.473, 1.470, 64, 17.250, 0.64775390625 
1504003681.164784, 0.003, 0.003, 1.473, 1.473, 64, 17.250, 0.64775390625 
1504003682.084761, 0.003, 0.003, 1.470, 1.492, 64, 17.250, 0.64775390625 
1504003683.004832, 0.003, 0.003, 1.457, 1.476, 64, 17.250, 0.64775390625 
1504003683.924772, 0.003, 0.003, 1.457, 1.476, 64, 17.250, 0.64775390625 
1504003684.844768, 0.003, 0.003, 1.473, 1.473, 64, 17.250, 0.64775390625 
1504003685.764727, 0.003, 0.003, 1.457, 1.473, 64, 17.250, 0.64775390625 
1504003686.684744, 0.003, 0.003, 1.470, 1.476, 64, 17.250, 0.64775390625 
1504003687.604772, 0.003, 0.003, 1.457, 1.492, 64, 17.250, 0.64453125 
1504003688.524767, 0.003, 0.003, 1.473, 1.476, 64, 17.250, 0.63486328125 
1504003689.444745, 0.003, 0.003, 1.470, 1.473, 64, 17.250, 0.20302734375 
1504003690.364731, 0.003, 0.003, 1.470, 1.479, 64, 17.250, 0.20302734375 
1504003691.284721, 0.003, 0.003, 1.470, 1.492, 64, 17.250, 0.20302734375 
1504003692.204998, 0.003, 0.003, 1.470, 1.476, 64, 17.250, 0.1998046875 
1504003693.124781, 0.003, 0.003, 1.457, 1.473, 64, 17.250, 0.193359375 
1504003694.044731, 0.003, 0.003, 1.457, 1.470, 64, 17.250, 0.18046875 
1504003694.964712, 0.003, 0.003, 1.457, 1.473, 64, 17.250, 0.167578125 
1504003695.884729, 0.003, 0.003, 1.473, 1.489, 64, 17.250, 0.15146484375 
1504003696.804809, 0.003, 0.003, 1.473, 1.492, 64, 17.250, 0.1482421875 
1504003697.724767, 0.003, 0.003, 1.470, 1.470, 64, 17.250, 0.1353515625 
1504003698.644794, 0.003, 0.003, 1.457, 1.473, 64, 17.250, 0.12890625 
1504003699.564764, 0.003, 0.003, 1.470, 1.476, 64, 17.250, 0.11923828125 
