t,dr,fdr,cra,crb,pv,T,Vpz
1504175843.720921, 1.647, 1.647, 0.648, 0.203, 0, 0.000, 0.95068359375 
1504175843.824690, 1.647, 1.647, 0.812, 0.799, 0, 0.000, 0.97646484375 
1504175843.926699, 1.647, 1.647, 0.822, 0.822, 0, 0.000, 0.97646484375 
1504175844.028560, 1.647, 1.647, 0.822, 0.822, 0, 0.000, 0.97646484375 
1504175844.130207, 1.647, 1.647, 0.822, 0.822, 0, 0.000, 0.97646484375 
1504175844.231933, 1.647, 1.647, 0.819, 0.812, 0, 0.000, 0.95712890625 
1504175844.333549, 0.722, 1.647, 0.651, 0.651, 0, 0.000, 0.8830078125 
1504175844.435194, 1.647, 1.647, 0.625, 0.635, 0, 0.000, 0.97646484375 
1504175844.536773, 1.647, 1.647, 0.773, 0.773, 0, 0.000, 0.97646484375 
1504175844.638403, 1.647, 1.647, 0.812, 0.812, 0, 0.000, 0.97646484375 
1504175844.740253, 1.647, 1.647, 0.812, 0.812, 0, 0.000, 0.97646484375 
1504175844.842478, 1.647, 1.647, 0.819, 0.819, 0, 0.000, 0.97646484375 
1504175844.944392, 1.647, 1.647, 0.819, 0.819, 0, 0.000, 0.97646484375 
1504175845.045980, 1.647, 1.647, 0.819, 0.819, 0, 0.000, 0.95068359375 
1504175845.147540, 1.647, 1.647, 0.819, 0.819, 0, 0.000, 0.95068359375 
1504175845.249189, 1.647, 1.647, 0.819, 0.819, 0, 0.000, 0.95712890625 
1504175845.350736, 1.647, 1.647, 0.819, 0.812, 0, 0.000, 0.97646484375 
1504175845.452332, 1.647, 1.647, 0.819, 0.819, 0, 0.000, 0.97646484375 
1504175845.553871, 1.647, 1.647, 0.819, 0.812, 0, 0.000, 0.97646484375 
1504175845.655441, 1.647, 1.647, 0.812, 0.812, 0, 0.000, 0.97646484375 
1504175845.758792, 1.647, 1.647, 0.812, 0.819, 0, 0.000, 0.97646484375 
1504175845.861011, 1.647, 1.647, 0.819, 0.819, 0, 0.000, 0.97646484375 
