t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,T,Vpz,Vms,gamma_dot,tau,mu_en_bal,mu_current_relation
1505831797.84,0,0,109.521,112.5,112.235,108.961,2.6,0.116,15,0.164516129,2.335,40.7732702246,8740.10049027,0.0020192871,214.358584488
1505831797.85,0,0,109.521,100.791,112.235,108.961,2.635,0.113,15,0.2451612903,2.335,40.7481630439,8883.08424585,0.0020353833,217.999624579
1505831797.87,0,0,109.521,100.791,112.235,108.961,2.597,0,15,0,2.335,40.7230672523,9026.07392113,0.0020515171,221.645237703
1505831797.88,0,0,109.521,100.791,112.235,108.961,2.613,0.035,15,0.064516129,2.335,40.6979981022,9169.00838937,0.0020676812,225.293842865
1505831797.89,0,0,109.521,100.791,112.235,108.961,2.571,0.026,15,0.0967741935,2.335,40.6729705886,9311.82778138,0.0020838683,228.943882058
1505831797.9,0,0,109.521,100.791,112.235,108.961,2.603,0,15,0,2.335,40.6479994309,9454.47254235,0.0021000712,232.593797351
1505831797.92,0,0,109.521,100.791,112.235,108.961,2.626,0.058,15,0.1451612903,2.335,40.6230990834,9596.88295142,0.0021162826,236.242019146
1505831797.93,0,0,109.521,100.791,112.235,108.961,2.623,0,15,0,2.323,40.5982837456,9754.05079088,0.0021215358,240.257712666
1505831797.94,0,0,109.521,100.791,112.235,108.961,2.577,0.035,15,0.0838709677,2.348,40.5735673712,9864.45998928,0.0021606643,243.125281517
1505831797.95,0,0,109.521,100.791,112.235,108.961,2.642,0.006,15,0.0612903226,2.323,40.5489636791,10037.1737064,0.0021537688,247.532188142
1505831797.96,0,0,108.154,100.791,112.235,108.961,2.61,0,15,0,2.323,40.5244861591,10178.0676207,0.0021698584,251.15846209
1505831797.97,0,0,108.154,118.168,54.412,108.961,2.639,0.039,15,0.1258064516,2.323,40.5001479762,10318.4439135,0.0021859206,254.775462043
1505831797.98,0,0,108.154,118.168,54.412,110.549,2.632,0,15,0,2.323,40.4759615907,10458.2507243,0.0022019488,258.381773113
1505831798,0,0,108.154,118.168,54.412,110.549,2.619,0.055,15,0.1387096774,2.323,40.4519382088,10597.4387357,0.0022179364,261.976043792
1505831798.01,0,0,108.154,118.168,54.412,110.549,2.619,0,15,0,2.323,40.4280874369,10735.9610608,0.0022338773,265.55698628
1505831798.02,0,0,108.154,118.168,54.412,110.549,2.623,0.023,15,0.0516129032,2.323,40.4044172124,10873.772776,0.0022497659,269.123366361
1505831798.03,0,0,108.154,118.168,54.412,110.549,2.606,0.016,15,0.0774193548,2.348,40.3809338169,10979.4742813,0.0022899787,271.897483379
1505831798.04,0,0,108.154,118.168,54.412,110.549,2.603,0,15,0,2.31,40.3576418857,11163.397382,0.0022685969,276.611735978
1505831798.05,0,0,108.154,118.168,54.412,110.549,2.616,0.052,15,0.1322580645,2.323,40.334544417,11282.5160602,0.0022970632,279.723403929
1505831798.07,0,0,108.154,118.168,54.412,110.549,2.606,0,15,0,2.335,40.3116427812,11402.0101297,0.0023246363,282.846575904
1505831798.08,0,0,108.154,118.168,54.412,110.549,2.603,0.048,15,0.1290322581,2.323,40.2889367305,11550.6864999,0.0023282382,286.696235673
1505831798.09,0,0,108.154,118.168,54.412,110.549,2.619,0,15,0.0129032258,2.31,40.2664244074,11699.6568358,0.0023305889,290.556139712
1505831798.1,0,0,107.856,118.168,54.412,110.549,2.61,0.006,15,0.0193548387,2.335,40.2441023538,11799.9650561,0.0023712716,293.209796366
1505831798.11,0,0,107.856,107.405,107.557,110.549,2.639,0.029,15,0.0935483871,2.31,40.2219656147,11961.9453826,0.0023610877,297.398329489
1505831798.12,0,0,107.856,107.405,107.557,107.389,2.597,0,15,0,2.323,40.2000081276,12075.1850489,0.0023895713,300.377676806
1505831798.13,0,0,107.856,107.405,107.557,107.389,2.642,0.052,15,0.1451612903,2.31,40.1782232882,12219.9183653,0.0023912127,304.142825771
1505831798.15,0,0,107.856,107.405,107.557,107.389,2.635,0,15,0,2.31,40.1566043058,12347.1931199,0.0024061262,307.476026257
1505831798.16,0,0,107.856,107.405,107.557,107.389,2.577,0.042,15,0.1064516129,2.31,40.1351442812,12473.2795042,0.0024209359,310.781977432
1505831798.17,0,0,107.856,107.405,107.557,107.389,2.635,0,15,0.0387096774,2.31,40.1138362081,12598.1433835,0.0024356387,314.059800168
1505831798.18,0,0,107.856,107.405,107.557,107.389,2.629,0,15,0,2.297,40.0926729815,12738.0561492,0.0024364423,317.715313098
1505831798.19,0,0,107.856,107.405,107.557,107.389,2.639,0.039,15,0.1096774194,2.323,40.071647406,12827.7637193,0.002478582,320.120697543
1505831798.2,0,0,107.856,107.405,107.557,107.389,2.629,0,15,0,2.31,40.0507522048,12965.0661524,0.0024790754,323.715921392
1505831798.22,0,0,107.856,107.405,107.557,107.389,2.658,0.052,15,0.1483870968,2.323,40.0299800276,13068.4078662,0.0025073527,326.465510529
1505831798.23,0,0,107.856,107.405,107.557,107.389,2.639,0,15,0,2.323,40.0093234591,13186.6776959,0.0025215571,329.590119398
1505831798.24,0,0,109.342,107.405,107.557,107.389,2.6,0.035,15,0.0870967742,2.31,39.9887750308,13319.8512858,0.0025214481,333.089755201
1505831798.25,0,0,109.342,109.783,109.531,107.389,2.635,0.003,15,0.0677419355,2.297,39.968327253,13451.600809,0.0025210575,336.556511956
1505831798.26,0,0,109.342,109.783,109.531,109.824,2.616,0,15,0,2.297,39.9479726895,13565.5992656,0.0025347312,339.581669665
1505831798.27,0,0,109.342,109.783,109.531,109.824,2.652,0.048,15,0.1258064516,2.297,39.9277040624,13678.1309037,0.0025482775,342.572437482
1505831798.29,0,0,109.342,109.783,109.531,109.824,2.665,0,15,0,2.323,39.9075143378,13756.5657482,0.0025906909,344.711164714
1505831798.3,0,0,109.342,109.783,109.531,109.824,2.623,0.052,15,0.1387096774,2.297,39.8873967662,13898.7183248,0.0025749818,348.448869859
1505831798.31,0,0,109.342,109.783,109.531,109.824,2.632,0,15,0,2.297,39.8673448966,14006.7429103,0.0025881374,351.333728059
1505831798.32,0,0,109.342,109.783,109.531,109.824,2.652,0.026,15,0.0419354839,2.323,39.8473525843,14080.6273377,0.0026306034,353.364186691
1505831798.33,0,0,109.342,109.783,109.531,109.824,2.619,0.019,15,0.0838709677,2.297,39.8274139988,14218.1926483,0.0026140507,356.995125234
1505831798.34,0,0,109.342,109.783,109.531,109.824,2.658,0,15,0,2.31,39.8075236322,14305.2934612,0.0026416736,359.361551686
1505831798.35,0,0,109.342,109.783,109.531,109.824,2.632,0.052,15,0.135483871,2.31,39.7876763064,14407.1439954,0.0026543671,362.100663645
1505831798.37,0,0,109.342,109.783,109.531,109.824,2.629,0,15,0,2.297,39.767867182,14523.739397,0.0026519167,365.212932606
1505831798.38,0,0,108.342,109.783,109.531,109.824,2.639,0.045,15,0.1225806452,2.297,39.7480917631,14622.4659968,0.0026642694,367.878440153
1505831798.39,0,0,108.342,108.171,108.281,109.824,2.626,0,15,0.0161290323,2.31,39.7283458897,14703.3219449,0.0026916351,370.096504539
1505831798.4,0,0,108.342,108.171,108.281,108.197,2.652,0.016,15,0.0225806452,2.297,39.7086257015,14815.2223962,0.0026885704,373.098341594
1505831798.41,0,0,108.342,108.171,108.281,108.197,2.635,0.026,15,0.0935483871,2.297,39.6889275817,14909.2525024,0.0027005187,375.652692346
1505831798.42,0,0,108.342,108.171,108.281,108.197,2.639,0,15,0,2.297,39.6692481134,15001.7201327,0.0027123325,378.170014461
1505831798.44,0,0,108.342,108.171,108.281,108.197,2.623,0.055,15,0.1419354839,2.297,39.6495840661,15092.629536,0.0027240123,380.650387424
1505831798.45,0,0,108.342,108.171,108.281,108.197,2.632,0,15,0,2.297,39.6299323994,15181.9861392,0.0027355585,383.093919671
1505831798.46,0,0,108.342,108.171,108.281,108.197,2.61,0.039,15,0.1096774194,2.297,39.6102902712,15269.796043,0.0027469717,385.500735755
1505831798.47,0,0,108.342,108.171,108.281,108.197,2.658,0,15,0.0387096774,2.297,39.5906550451,15356.065726,0.0027582525,387.870968756
1505831798.48,0,0,108.342,108.171,108.281,108.197,2.606,0,15,0,2.297,39.571024299,15440.8021683,0.0027694016,390.204763253
1505831798.49,0,0,108.342,108.171,108.281,108.197,2.619,0.032,15,0.1064516129,2.297,39.5513958319,15524.0128953,0.0027804195,392.502276311
1505831798.5,0,0,108.342,108.171,108.281,108.197,2.616,0,15,0,2.297,39.5317676728,15605.7054199,0.0027913069,394.763663216
1505831798.52,0,0,108.868,108.171,108.281,108.197,2.655,0.048,15,0.1451612903,2.297,39.5121380889,15685.886898,0.0028020643,396.989068593
1505831798.53,0,0,108.868,108.876,108.895,108.197,2.658,0,15,0,2.297,39.4925056019,15764.5648923,0.0028126922,399.178645469
1505831798.54,0,0,108.868,108.876,108.895,108.715,2.626,0.039,15,0.0870967742,2.284,39.4728690161,15858.0538014,0.0028072135,401.745659655
1505831798.55,0,0,108.868,108.876,108.895,108.715,2.613,0.006,15,0.0548387097,2.297,39.4532274547,15917.4487591,0.0028335628,403.451118857
1505831798.56,0,0,108.868,108.876,108.895,108.715,2.658,0,15,0,2.297,39.4335803878,15991.6772457,0.0028438071,405.534498478
1505831798.57,0,0,108.868,108.876,108.895,108.715,2.623,0.045,15,0.1225806452,2.284,39.4139276482,16080.7515006,0.0028377732,407.996676812
1505831798.59,0,0,108.868,108.876,108.895,108.715,2.642,0,15,0,2.284,39.3942694405,16152.0741072,0.0028477095,410.010753762
1505831798.6,0,0,108.868,108.876,108.895,108.715,2.632,0.055,15,0.1387096774,2.284,39.3746063491,16221.9643328,0.0028575221,411.990514623
1505831798.61,0,0,108.868,108.876,108.895,108.715,2.642,0,15,0,2.284,39.3549393457,16290.4370467,0.0028672119,413.936276299
1505831798.62,0,0,108.868,108.876,108.895,108.715,2.606,0.026,15,0.0580645161,2.271,39.3352697972,16373.8131032,0.0028604061,416.262890469
1505831798.63,0,0,108.868,108.876,108.895,108.715,2.655,0.016,15,0.0709677419,2.284,39.315599474,16423.1927596,0.0028862275,417.727135776
1505831798.64,0,0,108.868,108.876,108.895,108.715,2.632,0,15,0,2.284,39.2959305572,16487.5080532,0.0028955551,419.572913008
1505831798.65,0,0,106.245,108.876,108.895,108.715,2.626,0.042,15,0.1290322581,2.297,39.2762656408,16534.1654004,0.0029212971,420.970912855
1505831798.67,0,0,106.245,105.615,105.831,108.715,2.6,0,15,0,2.271,39.2566077007,16628.4031372,0.0028972696,423.582273436
1505831798.68,0,0,106.245,105.615,105.831,105.502,2.645,0.048,15,0.1258064516,2.284,39.2369599997,16672.4067527,0.0029228282,424.915863838
1505831798.69,0,0,106.245,105.615,105.831,105.502,2.642,0,15,0.0258064516,2.271,39.2173259544,16747.7189186,0.002914999,427.048976722
1505831798.7,0,0,106.245,105.615,105.831,105.502,2.626,0.006,15,0.0032258065,2.297,39.1977090332,16772.8300092,0.0029571634,427.903324529
1505831798.71,0,0,106.245,105.615,105.831,105.502,2.623,0.032,15,0.1064516129,2.284,39.17811272,16845.5886687,0.0029490541,429.974480626
1505831798.72,0,0,106.245,105.615,105.831,105.502,2.545,0,15,0,2.271,39.1585405148,16917.0959705,0.0029407333,432.015487504
1505831798.74,0,0,106.245,105.615,105.831,105.502,2.648,0.055,15,0.1483870968,2.271,39.1389959412,16971.0614599,0.002949085,433.610036531
