t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,T,Vpz,Vms,gamma_dot,tau,mu_en_bal,mu_current_relation
1507553000.02,462.804,469.852,457.694,469.732,469.351,469.424,2.523,0.323,15.0,0.0032258065,0.6431435196,171.696829263,-4300.836645,8.97916524864e-06,-25.049016126
1507553000.04,466.677,278.091,457.694,294.204,469.351,323.889,2.561,0.142,15.0,0.0322580645,0.6391156835,171.189207848,-4235.67720946,9.06463521003e-06,-24.7426649303
1507553000.05,466.677,278.091,460.349,294.204,231.889,323.889,2.513,0.065,15.0,0.0,0.6350701705,170.677163056,-4170.26912151,9.15039355722e-06,-24.4336679075
1507553000.06,466.677,278.091,460.349,294.204,231.889,323.889,2.571,0.032,15.0,0.0290322581,0.6310088131,170.160872267,-4104.64798786,9.23639456603e-06,-24.122161183
1507553000.07,466.677,471.906,460.08,443.054,231.889,323.889,2.552,0.019,15.0,0.0258064516,0.6269334645,169.640497033,-4038.84807243,9.3225970954e-06,-23.8082777583
1507553000.09,466.677,471.906,460.08,443.054,231.889,457.205,2.539,0.006,15.0,0.0,0.6228459954,169.116182054,-3972.90172378,9.40896564975e-06,-23.4921441314
1507553000.1,228.467,471.906,460.08,443.054,231.889,457.205,2.5,0.006,15.0,0.0193548387,0.6187482928,168.588058137,-3906.83951636,9.49546998231e-06,-23.17388052
1507553000.11,228.467,431.356,432.316,475.782,227.783,458.942,2.535,0.006,15.0,0.0258064516,0.6146422588,168.056245635,-3840.69149817,9.58208299336e-06,-22.8536076339
1507553000.13,228.467,431.356,432.316,475.782,227.783,458.942,2.574,0.003,15.0,0.0,0.6105298032,167.52085626,-3774.48791701,9.66877945175e-06,-22.5314507178
1507553000.14,454.71,489.634,492.528,475.782,227.783,458.942,2.532,0.006,15.0,0.0451612903,0.606412827,166.981993775,-3708.25834917,9.75553701368e-06,-22.2075342696
1507553000.15,454.71,489.634,492.528,447.494,454.037,453.184,2.529,0.0,15.0,0.0,0.6022932113,166.43975524,-3642.03078419,9.84233730919e-06,-21.8819763279
1507553000.16,454.71,489.634,492.528,447.494,454.037,453.184,2.526,0.003,15.0,0.0258064516,0.5981728279,165.89423384,-3575.83209148,9.92916517661e-06,-21.5548907802
1507553000.17,454.667,452.558,453.569,447.494,454.037,453.184,2.552,0.003,15.0,0.0064516129,0.5940535539,165.345522237,-3509.68881376,1.00160074229e-05,-21.2263916572
1507553000.18,454.667,452.558,453.569,435.769,453.157,452.528,2.516,0.003,15.0,0.0,0.5899372749,164.793714316,-3443.62721795,1.0102852653e-05,-20.8965932484
1507553000.19,454.667,452.558,453.569,435.769,453.157,452.528,2.574,0.006,15.0,0.0387096774,0.5858258864,164.238905182,-3377.67301087,1.01896917645e-05,-20.5656084173
1507553000.21,444.381,445.356,444.538,435.769,453.157,452.528,2.552,0.0,15.0,0.0,0.581721293,163.681190819,-3311.85082625,1.02765187806e-05,-20.2335455263
1507553000.22,444.381,445.356,444.538,447.615,438.958,443.723,2.516,0.01,15.0,0.0451612903,0.5776254059,163.120667985,-3246.1836475,1.03633317155e-05,-19.9005048692
1507553000.23,444.381,445.356,444.538,447.615,438.958,443.723,2.535,0.0,15.0,0.0,0.5735401377,162.557434177,-3180.69316979,1.04501319939e-05,-19.5665807959
